Name,Address
Trường Cao Đẳng Cộng Đồng Hà Nội,"Số 102 Trung Kính, Yên Hòa, Cầu Giấy, Hà Nội."
Trường Cao Đẳng Cộng Đồng Hà Tây,Thủy Xuân Tiên – Chương Mỹ – Hà Nội
Trường Cao Đẳng Công Nghệ Hà Nội,"Km 12 đường Cầu Diễn, Phường Phúc Diễn, Q. Bắc Từ Liêm, Hà Nội;"
Trường Cao Đẳng Công Nghệ Và Kinh Tế Hà Nội,Xã Đông Xuân – Huyện Sóc Sơn – TP Hà Nội.
Trường Cao Đẳng Công Nghệ và Môi Trường Hà Nội,"Số 30A Vũ Hữu, Thanh Xuân Bắc, Thanh Xuân, Hà Nội."
Cao Đẳng Công Nghệ và Thương Mại Hà Nội,"Tân Lập, Đan Phượng, Hà Nội"
Trường Cao Đẳng Công Nghiệp Dệt May Hà Nội,"Lệ chi, Gia lâm, TP. Hà Nội"
Trường Cao Đẳng Công Nghiệp In Hà Nội,"Đường Cầu Diễn, phường Phúc Diễn, Bắc Từ Liêm, Hà Nội."
Trường Cao đẳng Công Thương Hà Nội,"Số 54A1, đường Vũ Trọng Phụng, quận Thanh Xuân, thành phố Hà Nội."
Trường Cao Đẳng Điện Tử – Điện Lạnh Hà Nội,"Số 10, đường Nguyễn Văn Huyên, phường Dịch Vọng, quận Cầu Giấy, thành phố Hà Nội"
Trường Cao Đẳng Du Lịch Hà Nội,236 Hoàng Quốc Việt – Cầu Giấy – Hà Nội
Trường Cao Đẳng kinh Tế Kỹ Thuật Hà Nội,"Số 9 Đường Trần Vỹ (Lê Đức Thọ kéo dài), Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
Trường Cao Đẳng Kinh Tế Công Nghiệp Hà Nội,"Số 143 đường Nguyễn Ngọc Vũ, phường Trung Hòa, quận Cầu Giấy, Hà Nội;Số 106 đường Tả Thanh Oai, huyện Thanh Trì, Hà Nội;"
Trường Cao Đẳng Kinh Tế - Kỹ Thuật Thương Mại Hà Nội,"Số 126 Phố Xốm - Phường Phú Lãm, Quận Hà Đông - TP. Hà Nội "
Trường Cao Đẳng Kinh Tế Kỹ Thuật Trung Ương Hà Nội,Xã Dương Xá – Huyện Gia Lâm – Hà Nôi
Trường Cao đẳng Kỹ thuật - Công nghệ Bách Khoa,"Xã Văn Bình,huyện Thường Tín, Tp Hà Nội."
Cao Đẳng Múa Việt Nam,Khu Văn hóa nghệ thuật – Đường Hồ Tùng Mậu – Phường Mai Dịch – Quận Cầu Giấy – Hà Nội
Trường Cao Đẳng Nghệ Thuật Hà Nội,"Số 7 Hai Bà Trưng, Hoàn Kiếm, Hà Nội."
Trường Cao Đẳng Nông Nghiệp Và PTNT Bắc Bộ,"Xuân Mai, Chương Mỹ, Hà Nội."
Cao Đẳng Sư Phạm Hà Tây,"Thị trấn Thường Tín, Huyện Thường Tín, Thành phố Hà Nội"
Trường Cao Đẳng Sư Phạm Trung Ương Năm,"387 đường Hoàng Quốc Việt, Cầu Giấy, Hà Nội"
Trường Cao Đẳng Thương Mại và Du Lịch Hà Nội,Đường Phạm Văn Đồng – Mai Dịch – Cầu Giấy – Hà Nội
Trường Cao Đẳng Truyền Hình,Thị trấn Thường Tín - Huyện Thường Tín - Thành phố Hà Nội.
Trường Cao Đẳng Xây Dựng Công Trình Đô Thị,"Số 48, Yên Thường, Gia Lâm, Hà Nội"
Cao Đẳng Xây Dựng Số 1,Đường Trung Văn - phường Trung Văn - quận Nam Từ Liêm - TP. Hà Nội
Trường Cao Đẳng Y Tế Bạch Mai,Số 78 Giải Phóng – Đống Đa – Hà Nội
Trường Cao Đẳng Y Tế Hà Đông,39 Nguyễn Viết Xuân – Quang Trung  – Hà Đông – Hà Nội
Trường Cao Đẳng Y Tế Hà Nội,Số 35 phố Đoàn Thị Điểm – Q. Đống Đa – Hà Nội
Trường Cao Đẳng Nghề An Ninh - Công Nghệ," Thôn Đế Mơ, phường Yên Sở, quận Hoàng Mai, thành phố Hà Nội."
Trường Cao đẳng Nghề Bách Khoa,"Thị trấn Phùng, huyện Đan Phượng, thành phố Hà Nội; Xã Đức Thượng, huyện Hoài Đức, thành phố Hà Nội"
Trường Cao đẳng nghề Bách khoa Hà Nội,số 92A Lê Thanh Nghị - Phường Bách Khoa - Quận Hai Bà Trưng - Hà Nội
Trường Cao đẳng Nghề Cơ Điện Hà Nội,"160 Mai Dịch, Cầu Giấy, Hà Nội"
Trường Cao Đẳng Nghề Cơ Điện Và Công Nghệ Thực Phẩm Hà Nội,"Thị trấn Phú Minh, Phú Xuyên, Hà Nội"
Cao Đẳng Nghề Công Nghệ Cao Hà Nội,"Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội"
Trường Cao Đẳng Nghề Công Nghệ Và Kinh Tế Hà Nội,"Số 202 Hồ Tùng Mậu, Từ Liêm, Hà Nội"
Trường Cao Đẳng Nghề Công Nghiệp Hà Nội,"131 Thái Thịnh, Đống Đa, Hà Nội"
Trường Cao đẳng nghề Điện,"Tân Dân, Sóc Sơn, Hà Nội"
Trường Cao Đẳng Nghề Đường Sắt ,"Số 2/167 phố Gia Quất, phường Thượng Thanh, quận Long Biên, TP. Hà Nội"
Trường Cao Đẳng Nghề FPT,"Tòa nhà FPT Polytechnic (nhà H), Hàm Nghi, Mỹ Đình, Từ Liêm, Hà Nội"
Cao Đẳng Nghề Giao Thông Vận Tải Trung Ương I,Số 6 -Ngõ 29 -Tổ 11- Giáp Bát -Hoàng Mai – Hà Nội
Trường Cao Đẳng Nghề Hùng Vương,401 Đường Âu Cơ – Phường Nhật Tân – Quận Tây Hồ – Hà Nội
Cao Đẳng Nghề Kinh Doanh Và Công Nghệ Hà Nội,"Số 29A, ngõ 124, phố Vĩnh Tuy, phường Vĩnh Tuy, quận Hai Bà Trưng, Hà Nội"
Trường Cao đẳng nghề Simco Sông Đà,"Bình Minh, Thanh Oai, Hà Nội"
Cao đẳng nghề Kỹ thuật – Mỹ nghệ Việt Nam,"Số 1 ngõ 89, phố Lương Định của, Phường Phương Mai, Quận Đống Đa, Hà Nội."
Cao Đẳng Nghề Kỹ Thuật Công Nghệ Hà Nội,"Tổ 27, Thị trấn Đông Anh, Đông Anh, Hà Nội,"
Cao Đẳng Nghề Kỹ Thuật Thiết Bị Y tế,"Số 1 ngõ 89, phố Lương Định của, Phường Phương Mai, Quận Đống Đa, Hà Nội."
Cao Đẳng Nghề kỹ Thuật Và Nghiệp Vụ Hà Nội,Số 169 Nguyễn Ngọc Vũ -  Trung Hòa - Cầu Giấy -  Hà Nội.
Trường Cao Đẳng Nghề Long Biên,"765A Nguyễn Văn Linh, Sài Đồng, Long Biên, Hà Nội"
Trường Cao Đẳng Nghề Phú Châu,"Số 121, Tổ 3, Đường Cầu Diễn, Từ Liêm, TP Hà Nội"
Trường Cao Đẳng Nghề Quốc Tế Hà Nội,"Số 15 ngõ 251, Mai Dịch, Cầu Giấy, Hà Nội."
Trường Cao Đẳng Nghề Số 17 BQP,"Trụ sở (Khu A): Số 40, Trần Nguyên Đán, Khu đô thị mới Định Công - Hoàng Mai-Hà Nội"
