Name, Address
THPT Cầu Giấy,Khu đô thị mới Nguyễn Khánh Toàn – Cầu Giấy
THPT Yên Hoà,"Ngõ 251, Nguyễn Khang, Phường Yên Hòa, quận Cầu Giấy, Hà Nội"
Trường THPT chuyên Hà Nội Amsterdam,"Số 1 Hoàng Minh Giám, Cầu Giấy, Hà Nội"
THPT Nguyễn Tất Thành,"136 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội"
Trường THPT Xuân Đỉnh,"178 Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
Trường THPT Thượng Cát,Đường Sùng Khang – Phường Thượng Cát – Quận Bắc Từ Liêm
Trường THPT Nguyễn Thị Minh Khai,"Số 4, Võ Quý Huân, Bắc Từ Liêm, Hà Nội"
THPT Đoàn Thị Điểm,"Khu đô thị Bắc Cổ Nhuế, phường Cổ Nhuế 2, quận Bắc Từ Liêm, Hà Nội"
THPT Tây Đô,"Đường Phú Minh, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội"
THPT Nguyễn Huệ,"KĐT Nam Cường, ngõ 234 Hoàng Quốc Việt, Bắc Từ Liêm, Hà Nội"
THPT Lê Lợi,"Số 72 phố Bà Triệu, phường Nguyễn Trãi, quận Hà Đông"
THPT Quang Trung,"210 Đường Quang Trung, Hà Cầu, Hà Đông, Hà Nội"
THPT Trần Hưng Đạo,Phường Phú Lãm – Quận Hà Đông – Thành phố Hà Nội
THPT Lê Quý Đôn,"3, Nguyễn Trãi, P. Nguyễn Trãi, Q. Hà Đông, Tp. Hà Nội"
THPT Chuyên Nguyễn Huệ,560B Quang Trung – Quận Hà Đông – Hà Nội
THPT Minh Quang,"Xã Minh Quang, Ba Vì, HN"
THPT Ba Vì,"Xã Ba Trại, Ba Vì, HN"
THPT Bất Bạt,"Sơn Đà, Ba Vì"
THPT Dân tộc nội trú,"Xã Ba Trại, Ba Vì, HN"
THPT Lương Thế Vinh - Ba Vì,"Km 56 Quốc Lộ 32, Thôn Vật Phụ, Xã Vật Lại, Ba Vì, HN"
THPT Ngô Quyền - Ba Vì ,"Xã Vạn Thắng, Ba Vì"
THPT Quảng Oai,"Thị Trấn Tây Đằng, Ba Vì"
THPT Trần Phú - Ba Vì ,"Thị Trấn Tây Đằng, Ba Vì"
Trường THPT Mỹ Đức A,"Thị trấn Đại Nghĩa, Mỹ Đức, Hà Nội"
Trường THPT Mỹ Đức B,Tảo Khê - An Mỹ - Mỹ Đức
Trường THPT Mỹ Đức C,"Đốc Tín, huyện Mỹ Đức"
Trường THPT Hợp Thanh,Xã Hợp Thanh - Mỹ Đức
THPT Đống Đa,"Số 10 ngõ Quan Thổ 1, Tôn Đức Thắng, Đống Đa , Hà Nội"
THPT Hoàng Cầu,"Số 27 ngõ 44, Phố Nguyễn Phúc Lai, Chợ Dừa, Đống Đa, Hà Nội"
THPT Kim Liên,Số 1 ngõ 4C – Phố Đặng Văn Ngữ – Quận Đống Đa – TP Hà Nội
THPT Lê Quý Đôn – Đống Đa,"195 Ngõ Xã Đàn 2, Nam Đồng, Đống Đa, Hà Nội"
THPT Phan Huy Chú,Số 34 – Ngõ 49 – Huỳnh Thúc Kháng – Hà Nội
THPT Quang Trung,178 đường Láng – Đống Đa – Hà Nội
Trường THPT Phan Đình Phùng,"số 67 phố Cửa Bắc, phường Quán Thánh, quận Ba Đình"
Trường THPT Nguyễn Trãi,"50 phố Nam Cao, quận Ba Đình"
Trường THPT Phạm Hồng Thái,"Số 1, đường Nguyễn Văn Ngọc, quận Ba Đình"
THPT Hoàng Văn Thụ,"Số 234 Đường Lĩnh Nam, Hoàng Mai"
THPT Trương Định,"204 Phố Tân Mai, Hoàng Mai"
THPT Việt Nam – Ba Lan,"Số 1 ngõ 48 đường Ngọc Hồi, P. Hoàng Liệt, Hoàng Mai"
