Name,Address
Bệnh viện Bạch Mai,"78 Đường Giải Phóng, Phương Mai, Đống Đa, Hà Nội"
Bệnh viện Hữu Nghị,"1 Trần Khánh Dư, Bạch Đằng, Hai Bà Trưng, Hà Nội, Việt Nam"
"Bệnh viện E, Hà Nội","87 – 89 đường Trần Cung, phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội"
Bệnh Viện Răng Hàm Mặt Trung Ương Hà Nội,"40 Tràng Thi, Hàng Bông, Hoàn Kiếm, Hà Nội"
Bệnh viện tai mũi họng Trung Ương Hà Nội,"78 Giải Phóng, Phương Đình, Đống Đa, Hà Nội"
Bệnh viện mắt Trung Ương Hà Nội,"85 Phố Bà Triệu, Bùi Thị Xuân, Hai Bà Trưng, Hà Nội"
Bệnh Viện y học cổ truyền  Trung Ương Hà Nội,"29 Nguyễn Bỉnh Khiêm, Nguyễn Du, Hai Bà Trưng, Hà Nội"
Bệnh viện nội tiết Trung Ương Hà Nội - CSI,"80 Ngõ 82 Yên Lãng, Láng Hạ, Đống Đa, Hà Nội,"
Bệnh viện nội tiết Trung Ương Hà Nội - CSII,"Ngõ 215 Đường Ngọc Hồi, Tứ Hiệp, Thanh Trì, Hà Nội"
Bệnh viện K - CSI,"Số 30 đường Tân Triều, Cầu Bươu, Thanh Trì, Hà Nội."
Bệnh viện K - CSII,"Tựu Liệt, Tam Hiệp, Thanh Trì, Hà Nội"
Bệnh viện K - CSIII,"43 Quán Sứ, Hàng Bông, Hoàn Kiếm, Hà Nội"
Bệnh viện Việt Đức,"40 Tràng Thi, Hàng Bông, Hoàn Kiếm Hà Nội"
BỆNH VIỆN MẮT SÀI GÒN – HÀ NỘI - CSI,"số 532 Đường Láng, quận Đống Đa,  Hà Nội"
BỆNH VIỆN MẮT SÀI GÒN – HÀ NỘI - CSII,"số 77 Nguyễn Du, quận Hai Bà Trưng,  Hà Nội"
Bệnh viện Phụ sản Trung Ương Hà Nội,"43 Tràng Thi, Hoàn Kiếm, Hà Nội"
Bệnh viện Nhi Trung Ương Hà Nội,"18/879 Đường La Thành, Láng Thượng, Đống Đa, Hà Nội"
Bệnh viện Châm Cứu Trung Ương Hà Nội,"49 Thái Thịnh, Láng Hạ, Đống Đa, Hà Nội"
Bệnh viện Lao và bệnh phổi Trung Ương Hà Nội,"Số 463, đường Hoàng Hoa Thám, quận Ba Đình, Hà Nội"
Bệnh viện đa khoa Đống Đa,"192 Nguyễn Lương Bằng, Quận Đống Đa , Hà Nội"
Bệnh viện Thanh Nhàn,"42 Thanh Nhàn, Quỳnh Mai, Hai Bà Trưng"
Bệnh viện đa khoa Xanh–Pôn,"12 Chu Văn An, Điện Bàn, Ba Đình, Hà Nội"
Bệnh viện Hữu nghị Việt Nam – Cu ba,"37 Hai Bà Trưng, Tràng Tiền, Hoàn Kiếm, Hà Nội"
Bệnh viện Bắc Thăng Long,"Tổ 18 – thị trấn Đông Anh – Huyện Đông Anh – Hà Nội, Đông Anh, Hà Nội"
Bênh viện Ung bướu Hà Nội,"42A Thanh Nhàn, Hai Bà Trưng, Hà Nội"
Bệnh viện Tâm thần trung ương Hà Nội,"Xã Hòa Bình, Huyện Thường Tín, Hoà Binh, Thường Tín, Hà Nội"
Bệnh viện phụ sản Hà Nội - CSI,"929 Đường La Thành, Láng Thượng, Ba Đình, Hà Nội"
Bệnh viện phụ sản Hà Nội - CSII,"Số 10, Đường Quang Trung, Hà Đông, Hà Nội "
Bệnh viện phụ sản Hà Nội - CSIII,"Số 38, Cảm Hội, Hai Bà Trưng, Hà Nội"
Bệnh viện tâm thần Hà Nội,Ngõ 467 Nguyễn Văn Linh – phườngSài Đồng – quậnLong Biên –  Hà Nội
Bệnh viện Phổi Hà Nội – Trung tâm chống Lao Hà Nội,"SỐ 44 THANH NHÀN, Quận Hai Bà Trưng, Hà Nội."
Bệnh viện Mắt Hà Nội – Trung tâm mắt Hà Nội,"37, Phố Hai Bà Trưng, Phường Tràng Tiền, Quận Hoàn Kiếm, Thành Phố Hà Nội"
Trung tâm y tế Gia Lâm,"Số 3 Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội, Việt Nam"
Trung tâm y tế Đông Anh,"Km3 Tiên Dương, Tiên Dương, Đông Anh, Hà Nội, Việt Nam"
Trung tâm Y tế huyện Thanh Trì,"118 Tứ Hiệp, Văn Điển, Thanh Trì, Hà Nội, Việt Nam"
Trung tâm Y tế Sóc Sơn,"Phù Linh, Sóc Sơn, Hà Nội, Việt Nam"
Bệnh viện Giao thông vận tải trung ương,"1B1 Tập thể Bệnh viện giao thông vận tải, Láng Thượng, Đống Đa, Hà Nội"
Bệnh viện Đa khoa Nông Nghiệp,"Km13+500, Quốc lộ 1A, Ngọc Hồi, Thanh Trì, Hà Nội, Việt Nam"
Bệnh viện Y học Cổ truyền trung ương,"29 Nguyễn Bỉnh Khiêm, Nguyễn Du, Hai Bà Trưng, Hà Nội"
Bệnh Viện bỏng quốc gia Lê Hữu Trác,263 Đường Phùng Hưng – Quận Hà Đông – Thành phố Hà Nội
Bệnh Viện Da Liễu Trung Ương,15A – Phương Mai – Quận Đống Đa – Hà Nội
Viện huyết học truyền máu trung ương,"Phạm Văn Bạch, Yên Hoà, Cầu Giấy, Hà Nội, Việt Nam"
Bệnh Viện lão khoa Trung Ương ,"1A Phương Mai, Đống Đa, Hà Nội, Việt Nam"
Viện sức khỏe tâm thần Quốc Gia,"78 Giải Phóng, Phương Đình, Đống Đa, Hà Nội Việt Nam"
Viện tim mạch trung ương Hà Nội –  Viện tim mạch việt nam,"78 Giải Phóng, Phương Đình, Đống Đa, Hà Nội"
Bệnh Viện Bệnh Nhiệt Đới Trung Ương - CSI,"78 Giải Phóng, Phương Đình, Đống Đa, Hà Nội, Việt Nam "
Bệnh Viện Bệnh Nhiệt Đới Trung Ương - CSII,"Thôn Bầu, xã Kim Chung, huyện Đông Anh, thành phố Hà Nội "
BỆNH VIỆN TIM HÀ NỘI - CSI,"92 Trần Hưng Đạo, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội"
BỆNH VIỆN TIM HÀ NỘI - CSII,"Đường Võ Chí Công, Quận Tây Hồ, Hà Nội"
VIỆN VỆ SINH DỊCH TỄ TRUNG ƯƠNG,"Số 1 phố Yec Xanh, Phạm Đình Hổ, Hai Bà Trưng, Hà Nội"
BỆNH VIỆN QUÂN Y 103,"261 Phùng Hưng, phường Phúc La, Hà Đông, Hà Nội"
BỆNH VIỆN 19 – 8 BỘ CÔNG AN VIỆT NAM,"9 Trần Bình, Mai Dịch, Cầu Giấy, Hà Nội"
BỆNH VIỆN TRUNG ƯƠNG QUÂN ĐỘI 108,"Số 1 Trần Hưng Đạo, Bạch Đằng, Hai Bà Trưng, Hà Nội  "
BỆNH VIỆN XÂY DỰNG,"Nguyễn Quý Đức, Thanh Xuân Bắc, Hà Nội"
Bệnh Viện Nam Thăng Long," 38 Tân Xuân, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
Bệnh Viện Tâm Thần Mỹ Đức,"TL80, Phúc Lâm, Mỹ Đức, Hà Nội"
Bệnh Viện Thận Hà Nội,"70 Nguyễn Chí Thanh, Láng Thượng, Đống Đa, Hà Nội"
Bệnh Viện Tuệ Tĩnh,"2 Trần Phú, phường Mộ Lao, Hà Đông, phường Mộ Lao Hà Đông Hà Nội"
Bệnh Viện Y Học Cổ Truyền Hà Đông,"99 Nguyễn Viết Xuân, phường Quang Trung, Hà Đông, Hà Nội, Việt Nam"
Bệnh Viện Đa Khoa Quận Hà Đông," 2 Bế Văn Đàn, phường Quang Trung, Hà Đông, phường Quang Trung Hà Đông Hà Nội"
Bệnh Viện Đa Khoa Sóc Sơn," Số 18 Đường Bệnh Viện, Tiên Dược, Sóc Sơn, Hà Nội"
Bệnh Viện Đa Khoa Sơn Tây," 304A, đường Lê Lợi, phường Lê Lợi, Sơn Tây, Hà Nội"
Bệnh Viện Đa Khoa Đông Anh,"Cao Lỗ, Uy Nỗ, Đông Anh, Hà Nội"
Bệnh Viện Đa Khoa Đức Giang,"54 Trường Lâm, Đức Giang, Long Biên, Hà Nội"
Bệnh Viện Đa Khoa Hòe Nhai 2,"53 Tân Ấp, Phúc xá, Ba Đình, Hà Nội, Việt Nam"
Bệnh Viện đa khoa Huyện Ba Vì,"Xã Đồng Thái, huyện Ba Vì, thành phố Hà Nội"
Bệnh Viện Đa Khoa Chương Mỹ," 120 ĐT419, Ngọc Hoà , Chương Mỹ, Hà Nội"
Bệnh Viện Đa Khoa Huyện Đan Phượng,Thị Trấn Phùng – Đan Phượng – Hà nội
Bệnh viện Đa khoa Huyện Hoài Đức,"Thôn Lũng Kênh, Đức Giang, Hoài Đức, Hà Nội"
BỆNH VIỆN ĐA KHOA MÊ LINH,"Thôn 1, xã Thạch Đà, huyện Mê Linh,  Hà Nội"
