Name,Address
Tiểu học Thăng Long Số 1,"Lô A/D13 khu đô thị Cầu Giấy mới, phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội"
Tiểu học YÊN HÒA,Phố Trung Kính – Yên Hòa – Cầu Giấy – Hà Nội
Tiểu học TRUNG YÊN,Khu đô thị mới Nam Trung Yên – Cầu Giấy – Hà Nội
Tiểu học TRUNG HÒA,Số 1 ngõ 22 Trung Kính – Trung Hòa – Cầu Giấy
Tiểu học QUAN HOA,Số 477 – Nguyễn Khang – Quan Hoa – Cầu Giấy
Tiểu học NGUYỄN SIÊU,Phố Trung Kính – Yên Hoà – Cầu Giấy
Tiểu học NGUYỄN KHẢ TRẠC,TT Đồng Xa – Phường Mai Dịch – Quận Cầu Giấy
Tiểu học Nguyễn Bỉnh Khiêm,Số 6 Trần Quốc Hoàn – Dịch Vọng Hậu – Cầu Giấy
Tiểu học NGHĨA TÂN,Phường Nghĩa Tân – Cầu Giấy
Tiểu học NGHĨA ĐÔ,Ngõ 106 – Đường Hoàng Quốc Việt – Nghĩa Đô – Cầu Giấy
Tiểu học NAM TRUNG YÊN,Khu Đô Thị Mới Nam Trung Yên
Tiểu học MAI DỊCH,18 Phố Trần Bình – Cầu Giấy
Tiểu học LÝ THÁI TỔ,Đường Nguyễn Thị Định – Trung Hoà – Cầu Giấy
Tiểu học HERMANN,"Số 02 Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội"
Tiểu học Quốc tế GLOBAL,"Lô C1, 2, 3, 4, D34 – KĐT Yên Hòa – Cầu Giấy – Quận Cầu Giấy"
Tiểu học DỊCH VỌNG A,Ngõ 233 đường Xuân Thuỷ – Cầu Giấy – Hà Nội
Tiểu học DỊCH VỌNG B,Ngõ 233 đường Xuân Thuỷ – Cầu Giấy – Hà Nội
Tiểu học DỊCH VỌNG A,Ngõ 233 đường Xuân Thuỷ – Cầu Giấy – Hà Nội
Tiểu học Thăng Long Kidsmart,Lô NT1 phố Thọ Tháp – Khu ĐTM Dịch Vọng – Cầu Giấy – Hà Nội
Tiểu học Cổ Nhuế 2A,Số 43 đường Tăng Thiết Giáp – TDP Đống 2- Phường Cổ Nhuế 2 – Quận Bắc Từ Liêm – Thành phố Hà Nội
Tiểu học Cổ Nhuế 2B,"Số 95B, ngõ 145, đường Cổ Nhuế, phường Cổ Nhuế 2, quận Bắc Từ Liêm, Hà Nội"
Tiểu học Minh Khai A,"Ngõ 136, Cầu Diễn, Q. Bắc Từ Liêm, Hà Nội"
Tiểu học Minh Khai B,TDP Phúc Lý – P. Minh Khai – Quận Bắc Từ Liêm – Hà Nội
Tiểu học Đông Ngạc A,Phường Đông Ngạc – Quận Bắc Từ Liêm – Thành Phố Hà Nội
Tiểu học Đông Ngạc B,Phường Đông Ngạc – Quận Bắc Từ Liêm – Thành Phố Hà Nội
Tiểu học Tây Tựu A,Tổ dân phố Trung 5 – Tây Tựu – Bắc Từ Liêm – Hà Nội
Tiểu học Tây Tựu B,TDP Hạ 9 – Tây Tựu – Bắc Từ Liêm – Hà Nội
Tiểu học Xuân Đỉnh,"Ngõ 190, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội"
Tiểu học Liên Mạc,"Thôn Đại Cát, Liên Mạc, Bắc Từ Liêm, Hà Nội"
Tiểu học Hồ Tùng Mậu,"Khu tái định cư, phường Phú Diễn, quận Bắc Từ Liêm, Hà Nội"
Tiểu học Đức Thắng,Tổ dân phố số 2 – Phường Đức Thắng – Quận Bắc Từ Liêm – Hà Nội
Tiểu học Thụy Phương,Số 2 ngõ 125 đường Thụy Phương – Phường Thụy Phương – Quận Bắc Từ Liêm – Thành Phố Hà Nội
Tiểu học Thượng Cát,Thượng Cát – Bắc Từ Liêm – Thành Phố Hà Nội  
Tiểu học Phúc Diễn,Phường Phúc Diễn – Quận Bắc Từ Liêm – Thành Phố Hà Nội
Tiểu học Phú Diễn,"17 Đường Hỏa Lò, Phú Diễn, Bắc Từ Liêm, Hà Nội"
Tiểu học I-Sắc Niu-Tơn,"– Địa chỉ 1: Goldmark City, 136 Hồ Tùng Mậu, Bắc Từ Liêm, Hà Nội"
,"– Địa chỉ 2: Ngõ 234 Hoàng Quốc Việt – Khu ĐTM Hoàng Quốc Việt, Bắc Từ Liêm, Hà Nội"
Tiểu học Đoàn Thị Điểm,"Khu đô thị Bắc Cổ Nhuế, Chèm, Quận Bắc Từ Liêm, Hà Nội"
Tiểu học Pascal,KĐT mới Hoàng Quốc Việt – Từ Liêm – Hà Nội (ngõ 234 đường Hoàng Quốc Việt)
,
Tiểu học An Hưng,"Khu Đô thị An Hưng, Dương Nội, Hà Đông, Hà Nội"
Tiểu học Biên Giang,"Biên Giang, Hà Đông, Hà Nội"
Tiểu học Đoàn Kết,"92 Bế Văn Đàn, P. Quang Trung, Hà Đông, Hà Nội"
Tiểu học Đồng Mai I,Tổ 6 – phường Đồng Mai – Quận Hà Đông – Hà Nội
Tiểu học Đồng Mai II,Tổ dân phố 14 – Phường Đồng Mai II – Hà Đông – Hà Nội
Tiểu học Dương Nội A,Phường Dương Nội – Hà Đông – Hà Nội
Tiểu học Dương Nội B,Tổ dân phố Hòa Bình – Phường Dương Nội – Hà Đông – Hà nội
Tiểu học Kiến Hưng,"70 Đa Sỹ, Kiến Hưng, Hà Đông, Hà Nội"
Tiểu học Kim Đồng,"Dương Kinh, Hà Đông, Hà Nội"
Tiểu học Lê Hồng Phong,"Lê Hồng Phong, Q. Hà Đông, Tp. Hà Nội"
Tiểu học Lê Quý Đôn,"Khu đô thị Dương Nội (Cổng The Sparks đi vào), Quận Hà Đông, Hà Nội"
Tiểu học Lê Lợi,"162 Lê Lợi, Hà Cầu, Hà Đông, Hà Nội"
Tiểu học Lê Trọng Tấn,"6 Quang Trung Đường, Yên Nghĩa Đông Hà, Yên Nghĩa, Hà Đông, Hà Nội"
Tiểu học Mậu Lương,"Tổ dân phố 19, Phường Kiến Hưng, Quận Hà Đông, Hà Nội"
Tiểu học Trần Phú,"Đường Thanh Bình, Phường Mỗ Lao, Quận Hà Đông"
Tiểu học Trần Quốc Toản,"Phường Dương Nội, quận Hà Đông, TP. Hà Nội"
Tiểu học Phú La,"Khu đô thị Văn Phú, Hà Đông, Hà Nội"
Tiểu học Phú Lãm,"Tổ 6 phường Phú Lãm, quận Hà Đông, Hà Nội"
Tiểu học Phú Lương I,Tổ 19 Bắc Lãm – Phú Lương – Hà Đông
Tiểu học Phú Lương II,Tổ 6 Phường Phú Lương – Quận Hà Đông – Thành phố Hà Nội
Tiểu học Vạn Phúc,Số 7 – Tổ dân phố Bạch Đằng – phường Vạn Phúc – quận Hà Đông
Tiểu học Văn Khê,Đường Ngô Đình Mẫn – La Khê – Hà Đông – Hà Nội.
Tiểu học Văn Yên,"Nguyễn Công Trứ, Văn Quán, phường Phúc La, Hà Đông"
