Name,Address
Tiểu học Thăng Long Số 1,"Lô A/D13 khu đô thị Cầu Giấy mới, phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội"
Tiểu học YÊN HÒA,Phố Trung Kính – Yên Hòa – Cầu Giấy – Hà Nội
Tiểu học TRUNG YÊN,Khu đô thị mới Nam Trung Yên – Cầu Giấy – Hà Nội
Tiểu học TRUNG HÒA,Số 1 ngõ 22 Trung Kính – Trung Hòa – Cầu Giấy
Tiểu học QUAN HOA,Số 477 – Nguyễn Khang – Quan Hoa – Cầu Giấy
Tiểu học NGUYỄN SIÊU,Phố Trung Kính – Yên Hoà – Cầu Giấy
Tiểu học NGUYỄN KHẢ TRẠC,TT Đồng Xa – Phường Mai Dịch – Quận Cầu Giấy
Tiểu học Nguyễn Bỉnh Khiêm,Số 6 Trần Quốc Hoàn – Dịch Vọng Hậu – Cầu Giấy
Tiểu học NGHĨA TÂN,Phường Nghĩa Tân – Cầu Giấy
Tiểu học NGHĨA ĐÔ,Ngõ 106 – Đường Hoàng Quốc Việt – Nghĩa Đô – Cầu Giấy
Tiểu học NAM TRUNG YÊN,Khu Đô Thị Mới Nam Trung Yên
Tiểu học MAI DỊCH,18 Phố Trần Bình – Cầu Giấy
Tiểu học LÝ THÁI TỔ,Đường Nguyễn Thị Định – Trung Hoà – Cầu Giấy
Tiểu học HERMANN,"Số 02 Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội"
Tiểu học Quốc tế GLOBAL,"Lô C1, 2, 3, 4, D34 – KĐT Yên Hòa – Cầu Giấy – Quận Cầu Giấy"
Tiểu học DỊCH VỌNG A,Ngõ 233 đường Xuân Thuỷ – Cầu Giấy – Hà Nội
Tiểu học DỊCH VỌNG B,Ngõ 233 đường Xuân Thuỷ – Cầu Giấy – Hà Nội
Tiểu học DỊCH VỌNG A,Ngõ 233 đường Xuân Thuỷ – Cầu Giấy – Hà Nội
Tiểu học Thăng Long Kidsmart,Lô NT1 phố Thọ Tháp – Khu ĐTM Dịch Vọng – Cầu Giấy – Hà Nội
