Name,Address
Trường Đại Học Phòng Cháy Chữa Cháy,số 243 - Đường khuất Duy Tiến - Quận Thanh Xuân - Thành Phố Hà Nội
Học Viện An Ninh Nhân Dân,Km 9 - Nguyễn Trãi - Quận Hà Đông - Hà Nội
Học Viện Biên Phòng ,"Phường Sơn Lộc, thị xã Sơn Tây, thành phố Hà Nội."
Học Viện Cảnh Sát Nhân Dân,"Phường Cổ Nhuế 2, quận Bắc Từ Liêm, thành phố Hà Nội"
Học Viện Chính Trị Công An Nhân Dân,"Số 29 đường Lê Văn Hiến, phường Đức Thắng, quận Bắc Từ Liêm, Hà Nội"
Học Viện Hậu Cần,"Phường Ngọc Thụy, Quận Long Biên, Tp. Hà Nội"
Học Viện Khoa Học Quân Sự,"Số 322E, Lê Trọng Tấn, Hoàng Mai, Hà Nội; Kim Chung, Hoài Đức, Hà Nội"
Học Viện Kỹ Thuật Mật Mã,"141 Chiến Thắng, Tân Triều, Thanh Trì, Hà Nội"
Học Viện Kỹ Thuật Quân Sự," Số 236, đường Hoàng Quốc Việt, Bắc Từ Liêm, Hà Nội"
Học Viện Phòng Không - Không Quân,"Xã Kim Sơn, thị xã Sơn Tây, thành phố Hà Nội"
Học Viện Quân Y,Số 160 - Đường Phùng Hưng - Phường Phúc La - Quận Hà Đông - Thành phố Hà Nội
Đại Học Văn Hóa - Nghệ Thuật Quân Đội,"Số 101 Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, Tp Hà Nội."
Trường Sĩ Quan Đặc Công,"Xã Tân Tiến, Chương Mỹ, Hà Nội"
Trường Sĩ Quan Lục Quân 1,"Xã Cổ Đông, Thị xã Sơn Tây, TP Hà Nội"
Trường Sĩ Quan Pháo Binh,"Xã Thanh Mỹ, Sơn Tây, Hà Nội"
Trường Sĩ Quan Phòng Hóa,"Xã Sơn Đông, Thị xã Sơn Tây, Thành phố Hà Nội."
Đại Học Quốc Gia Hà Nội,"144 Xuân Thủy, Mai Dịch, Cầu Giấy, Hà Nội."
Trường Đại Học Bách Khoa Hà Nội,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội"
Đại Học Công Đoàn,"169 Tây Sơn, Đống Đa, Hà Nội."
Đại Học Công Nghệ Đông Á,Phường Võ Cường - TP Bắc Ninh -Bắc Ninh hoặc Toà nhà Polyco - KCN Từ Liêm - Quận Nam Từ Liêm - Hà Nội
Trường Đại Học Công Nghệ Giao Thông Vận Tải,"Số 54 Triều Khúc, P. Thanh Xuân Nam, Q. Thanh Xuân, Hà Nội"
Đại Học Công Nghệ Và Quản Lý Hữu Nghị,Số 431 - Tam Trinh - Hoàng Văn Thụ - Hoàng Mai - Hà Nội
Trường Đại Học Công Nghiệp Dệt May,"Lệ Chi, Gia Lâm, Hà Nội"
Đại Học Công Nghiệp Hà Nội,"Số 298 đường Cầu Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội; Phường Tây Tựu, Quận Bắc Từ Liêm, Thành phố Hà Nội"
Trường Đại Học Công Nghiệp Việt Hung,"Tầng 6 tòa nhà Hà Nội Center Point số 27 Lê Văn Lương, Thanh Xuân, Hà Nội; Số 16, phố Hữu Nghị, Xuân Khanh, Sơn Tây, TP. Hà Nội; Khu công nghiệp Bình Phú, Thạch Thất, TP. Hà Nội."
Đại Học Điện Lực,"Số 235, Hoàng Quốc Việt, Bắc Từ Liêm, Hà Nội   "
Trường Đại Học Dược Hà Nội,"13-15 Lê Thánh Tông, Quận Hoàn Kiếm, Thành phố Hà Nội"
Đại Học Giao Thông Vận Tải,"Số 3 phố Cầu Giấy, Láng Thượng, Đống Đa, Hà Nội."
Đại Học Hà Nội,"Km9 đường Nguyễn Trãi, Nam Từ Liêm, Hà Nội"
Đại Học Khoa Học Và Công Nghệ Hà Nội,"Tòa nhà A21, Viện Hàn Lâm Khoa học và Công nghệ Việt Nam, 18 Hoàng Quốc Việt, Cầu Giấy, Hà Nội"
Đại Học Kiểm Sát Hà Nội,Phường Dương Nội – Quận Hà Đông – TP.Hà Nội
Đại Học Kiến Trúc Hà Nội,"Km10 đường Nguyễn Trãi, Thanh Xuân, Hà Nội"
Đại Học Kinh Tế - Kỹ Thuật Công Nghiệp,"Nhà HA3, khu giảng đường Trường Đại học Kinh tế - Kỹ thuật Công nghiệp; Ngõ 454, Phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, TP. Hà Nội; Phòng 102 nhà HA8, khu giảng đường Trường Đại học Kinh tế - Kỹ thuật Công nghiệp; Số 218 Đường Lĩnh Nam, Q.Hoàng Mai, TP Hà Nội."
 Đại Học Kinh Tế Quốc Dân 2021,Số 207 - Đường Giải Phóng - Quận Hai Bà Trưng - Thành Phố Hà Nội
Đại Học Lâm Nghiệp 2021,"Thị trấn Xuân Mai, huyện Chương Mỹ, Hà Nội."
Đại Học Lao Động Xã Hội 2021,"43 Trần Duy Hưng - Trung Hoà, Cầu Giấy."
Đại Học Luật Hà Nội 2021,"số 87 Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội"
Đại Học Mỏ - Địa Chất,Số 18 Phố Viên - Phường Đức Thắng - Q. Bắc Từ Liêm - Hà Nội
Đại Học Mở Hà Nội,"Nhà B101, Phố Nguyễn Hiền, Phường Bách Khoa, Q. Hai Bà Trưng, Hà Nội"
Đại Học Mỹ Thuật Công Nghiệp,"Số 360 Đường La Thành, Ô Chợ Dừa, Đống Đa, Hà Nội."
Đại Học Ngoại Thương,"91 phố Chùa Láng, phường Láng Thượng, quận Đống Đa, Hà Nội."
Đại Học Nội Vụ Hà Nôi 2021,"Số 36 đường Xuân La, phường Xuân La, quận Tây Hồ, thành phố Hà Nội"
Đại Học Sân Khấu Điện Ảnh Hà Nội,"Khu Văn hóa nghệ thuật Mai Dịch, phường Mai Dịch, Cầu Giấy, Hà Nội"
Đại Học Sư Phạm Hà Nội ,"136 Xuân Thuỷ, Cầu Giấy, Hà Nội"
Đại Học Sư Phạm Nghệ Thuật Trung Ương Hà Nội,"Km9, Nguyễn Trãi, Q.Thanh Xuân, TP. Hà Nội"
Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,Xã Phụng Châu - Chương Mỹ - Thành Phố Hà Nội
Đại Học Tài Chính - Ngân Hàng Hà Nội,Số 136 Phạm Văn Đồng - P.Xuân Đỉnh - Q.Bắc Từ Liêm - Hà Nội
