,area,location,price
0, 316 m,"Quận Hoàng Mai, Hà Nội",50000000
1, 90 m,"Quận Hoàng Mai, Hà Nội",30000000
2, 95 m,"Quận Hoàng Mai, Hà Nội",31000000
3, 110 m,"Quận Hoàng Mai, Hà Nội",165000000
4, 50 m,"Quận Hoàng Mai, Hà Nội",24000000
5, 60 m,"Quận Hoàng Mai, Hà Nội",30000000
6, 208 m,"Quận Hoàng Mai, Hà Nội",93600000
7, 50 m,"Quận Hoàng Mai, Hà Nội",15000000
8, 100 m,"Quận Ba Đình, Hà Nội",10000000
9, 100 m,"Quận Hoàng Mai, Hà Nội",45000000
10, 25 m,"Quận Hoàng Mai, Hà Nội",5000000
11, 18 m,"Quận Hoàng Mai, Hà Nội",8000000
12, 20 m,"Quận Hoàng Mai, Hà Nội",2500000
13, 656 m,"Quận Ba Đình, Hà Nội",328000000
14, 110 m,"Quận Ba Đình, Hà Nội",10000000
15, 50 m,"Quận Ba Đình, Hà Nội",20000000
16, 75 m,"Quận Ba Đình, Hà Nội",7500000
17, 65 m,"Quận Ba Đình, Hà Nội",50000000
18, 88 m,"Quận Ba Đình, Hà Nội",20000000
19, 09 m,"Quận Ba Đình, Hà Nội",8000000
20, 60 m,"Quận Đống Đa, Hà Nội",10000000
21, 80 m,"Quận Ba Đình, Hà Nội",18000000
22, 20 m,"Quận Ba Đình, Hà Nội",12000000
23, 55 m,"Quận Ba Đình, Hà Nội",13500000
24, 50 m,"Quận Ba Đình, Hà Nội",13500000
25, 300 m,"Quận Cầu Giấy, Hà Nội",60000000
26, 120 m,"Quận Đống Đa, Hà Nội",40000000
27, 90 m,"Quận Đống Đa, Hà Nội",30000000
28, 80 m,"Quận Đống Đa, Hà Nội",17000000
29, 45 m,"Quận Đống Đa, Hà Nội",8000000
30, 50 m,"Quận Đống Đa, Hà Nội",8000000
31, 340 m,"Quận Đống Đa, Hà Nội",120000000
32, 110 m,"Quận Đống Đa, Hà Nội",100000000
33, 60 m,"Quận Cầu Giấy, Hà Nội",50000000
34, 200 m,"Quận Cầu Giấy, Hà Nội",90000000
35, 240 m,"Quận Cầu Giấy, Hà Nội",100000000
36, 70 m,"Quận Cầu Giấy, Hà Nội",12500000
37, 80 m,"Quận Cầu Giấy, Hà Nội",22400000
38, 45 m,"Quận Cầu Giấy, Hà Nội",6000000
39, 28 m,"Quận Cầu Giấy, Hà Nội",5000000
40, 40 m,"Quận Hai Bà Trưng, Hà Nội",30000000
41, 50 m,"Quận Hoàn Kiếm, Hà Nội",55000000
42, 65 m,"Quận Đống Đa, Hà Nội",45000000
43, 80 m,"Quận Đống Đa, Hà Nội",40000000
44, 90 m,"Quận Đống Đa, Hà Nội",55000000
45, 70 m,"Quận Đống Đa, Hà Nội",1234000
46, 80 m,"Quận Đống Đa, Hà Nội",132324000
47, 80 m,"Quận Đống Đa, Hà Nội",12232000
48, 55 m,"Quận Đống Đa, Hà Nội",60000000
49, 120 m,"Quận Hà Đông, Hà Nội",60000000
50, 36 m,"Quận Cầu Giấy, Hà Nội",18500000
51, 48 m,"Quận Cầu Giấy, Hà Nội",13900000
52, 46 m,"Quận Cầu Giấy, Hà Nội",14000000
53, 50 m,"Quận Cầu Giấy, Hà Nội",6000000
54, 1.000 m,"Quận Cầu Giấy, Hà Nội",200000000
55, 40 m,"Quận Cầu Giấy, Hà Nội",11000000
56, 35 m,"Quận Cầu Giấy, Hà Nội",5500000
57, 35 m,"Quận Cầu Giấy, Hà Nội",5500000
58, 50 m,"Quận Hai Bà Trưng, Hà Nội",20000000
59, 115 m,"Quận Hai Bà Trưng, Hà Nội",50000000
60, 40 m,"Quận Hai Bà Trưng, Hà Nội",35000000
61, 40 m,"Quận Hai Bà Trưng, Hà Nội",18000000
62, 40 m,"Quận Hai Bà Trưng, Hà Nội",19000000
63, 55 m,"Quận Hai Bà Trưng, Hà Nội",23000000
64, 35 m,"Quận Hai Bà Trưng, Hà Nội",28000000
65, 20 m,"Quận Hoàn Kiếm, Hà Nội",3600000
66, 90 m,"Quận Hoàn Kiếm, Hà Nội",13000000
67, 40 m,"Quận Hoàn Kiếm, Hà Nội",32000000
68, 20 m,"Quận Hoàn Kiếm, Hà Nội",12000000
69, 38 m,"Quận Hoàn Kiếm, Hà Nội",28000000
70, 50 m,"Quận Hoàn Kiếm, Hà Nội",50000000
71, 50 m,"Quận Hoàn Kiếm, Hà Nội",25000000
72, 45 m,"Quận Hoàn Kiếm, Hà Nội",25000000
73, 35 m,"Quận Đống Đa, Hà Nội",30000000
74, 70 m,"Quận Đống Đa, Hà Nội",60000000
75, 70 m,"Quận Đống Đa, Hà Nội",16000000
76, 35 m,"Quận Đống Đa, Hà Nội",5500000
77, 110 m,"Quận Đống Đa, Hà Nội",36000000
78, 100 m,"Quận Hà Đông, Hà Nội",45000000
79, 100 m,"Quận Hà Đông, Hà Nội",55000000
80, 50 m,"Quận Hà Đông, Hà Nội",30000000
81, 45 m,"Quận Hà Đông, Hà Nội",45000000
82, 50 m,"Quận Hà Đông, Hà Nội",7500000
83, 320 m,"Quận Hà Đông, Hà Nội",14000000
84, 90 m,"Quận Hà Đông, Hà Nội",10000000
85, 35 m,"Quận Cầu Giấy, Hà Nội",5500000
86, 35 m,"Quận Cầu Giấy, Hà Nội",6000000
87, 500 m,"Quận Cầu Giấy, Hà Nội",250000000
88, 200 m,"Quận Cầu Giấy, Hà Nội",161000000
89, 50 m,"Quận Hai Bà Trưng, Hà Nội",13000000
90, 35 m,"Quận Hai Bà Trưng, Hà Nội",25000000
91, 30 m,"Quận Hai Bà Trưng, Hà Nội",18000000
92, 70 m,"Quận Hai Bà Trưng, Hà Nội",16000000
93, 65 m,"Quận Hai Bà Trưng, Hà Nội",65000000
94, 75 m,"Quận Hai Bà Trưng, Hà Nội",23000000
95, 25 m,"Quận Hai Bà Trưng, Hà Nội",9000000
96, 18 m,"Quận Bắc Từ Liêm, Hà Nội",5000000
97, 35 m,"Quận Hoàn Kiếm, Hà Nội",32000000
98, 35 m,"Quận Hoàn Kiếm, Hà Nội",30000000
99, 30 m,"Quận Hoàn Kiếm, Hà Nội",20000000
100, 30 m,"Quận Hoàn Kiếm, Hà Nội",30000000
