area,location,price
 100 m,"Quận Cầu Giấy, Hà Nội",11000000
 KXĐ,"Quận Cầu Giấy, Hà Nội",48400000
 252 m,"Quận Cầu Giấy, Hà Nội",100000000
 180 m,"Quận Cầu Giấy, Hà Nội",350000000
 50 m,"Quận Cầu Giấy, Hà Nội",50000000
 100 m,"Quận Cầu Giấy, Hà Nội",15000000
 01 m,"Quận Hà Đông, Hà Nội",48400000
 530 m,"Quận Hà Đông, Hà Nội",40000000
 01 m,"Quận Hà Đông, Hà Nội",48400000
 1.000 m,"Quận Hà Đông, Hà Nội",48400000
 1.000 m,"Quận Hà Đông, Hà Nội",48400000
 45 m,"Quận Hà Đông, Hà Nội",48400000
 01 m,"Quận Hà Đông, Hà Nội",48400000
 01 m,"Quận Hà Đông, Hà Nội",48400000
 KXĐ,"Quận Đống Đa, Hà Nội",48400000
 01 m,"Quận Hà Đông, Hà Nội",48400000
 1.000 m,"Quận Hà Đông, Hà Nội",48400000
 1.000 m,"Quận Hà Đông, Hà Nội",48400000
 1.000 m,"Quận Hà Đông, Hà Nội",48400000
 KXĐ,"Quận Hà Đông, Hà Nội",48400000
 KXĐ,"Quận Hà Đông, Hà Nội",7000000
 20 m,"Quận Đống Đa, Hà Nội",8000000
 18 m,"Quận Đống Đa, Hà Nội",7000000
 40 m,"Quận Đống Đa, Hà Nội",25000000
 KXĐ,"Quận Đống Đa, Hà Nội",48400000
 30 m,"Quận Đống Đa, Hà Nội",48400000
 90 m,"Quận Đống Đa, Hà Nội",48400000
 75 m,"Quận Đống Đa, Hà Nội",48400000
 40 m,"Quận Đống Đa, Hà Nội",25000000
 KXĐ,"Quận Ba Đình, Hà Nội",48400000
 1.200 m,"Quận Ba Đình, Hà Nội",48400000
 10.000 m,"Quận Long Biên, Hà Nội",450000000
 70 m,"Quận Tây Hồ, Hà Nội",15000000
 1.400 m,"Quận Tây Hồ, Hà Nội",48400000
 32 m,"Quận Hai Bà Trưng, Hà Nội",9000000
 15 m,"Quận Hai Bà Trưng, Hà Nội",9000000
 18 m,"Quận Hoàng Mai, Hà Nội",4000000
 15 m,"Quận Hoàn Kiếm, Hà Nội",5000000
 800 m,"Quận Hoàn Kiếm, Hà Nội",255200000
 25 m,"Quận Đống Đa, Hà Nội",12000000
 80 m,"Quận Đống Đa, Hà Nội",35000000
 40 m,"Quận Đống Đa, Hà Nội",25000000
 80 m,"Quận Đống Đa, Hà Nội",50000000
 25 m,"Quận Đống Đa, Hà Nội",9000000
 40 m,"Quận Đống Đa, Hà Nội",25000000
 40 m,"Quận Đống Đa, Hà Nội",25000000
 40 m,"Quận Đống Đa, Hà Nội",25000000
 32 m,"Quận Ba Đình, Hà Nội",13000000
 25 m,"Quận Ba Đình, Hà Nội",15000000
 30 m,"Quận Ba Đình, Hà Nội",48400000
 1.200 m,"Quận Ba Đình, Hà Nội",48400000
 70 m,"Quận Ba Đình, Hà Nội",10000000
 40 m,"Quận Ba Đình, Hà Nội",18000000
 60 m,"Quận Thanh Xuân, Hà Nội",48500000
 60 m,"Quận Thanh Xuân, Hà Nội",48000000
 14.000 m,"Quận Long Biên, Hà Nội",630000000
 80 m,"Quận Long Biên, Hà Nội",13000000
 01 m,"Quận Long Biên, Hà Nội",48400000
 60 m,"Quận Long Biên, Hà Nội",25000000
 01 m,"Quận Long Biên, Hà Nội",48400000
 01 m,"Quận Long Biên, Hà Nội",48400000
 01 m,"Quận Long Biên, Hà Nội",48400000
 45 m,"Quận Hai Bà Trưng, Hà Nội",48400000
 45 m,"Quận Hai Bà Trưng, Hà Nội",48400000
 27 m,"Quận Hai Bà Trưng, Hà Nội",15500000
 46 m,"Quận Hai Bà Trưng, Hà Nội",21000000
 70 m,"Quận Hai Bà Trưng, Hà Nội",48400000
 30 m,"Quận Hai Bà Trưng, Hà Nội",11000000
 694 m,"Quận Hai Bà Trưng, Hà Nội",138800000
 01 m,"Quận Hoàng Mai, Hà Nội",48400000
 01 m,"Quận Hoàng Mai, Hà Nội",48400000
 1.300 m,"Quận Hoàng Mai, Hà Nội",48400000
 68 m,"Quận Hoàng Mai, Hà Nội",7000000
 30 m,"Quận Hoàng Mai, Hà Nội",35000000
 01 m,"Quận Hoàng Mai, Hà Nội",48400000
 01 m,"Quận Hoàng Mai, Hà Nội",48400000
 95 m,"Quận Hoàn Kiếm, Hà Nội",55000000
 10 m,"Quận Hoàn Kiếm, Hà Nội",8000000
 40 m,"Quận Hoàn Kiếm, Hà Nội",7000000
 KXĐ,"Quận Hoàn Kiếm, Hà Nội",48400000
 24 m,"Quận Hoàn Kiếm, Hà Nội",28000000
 25 m,"Quận Hoàn Kiếm, Hà Nội",29000000
 20 m,"Quận Hoàn Kiếm, Hà Nội",48400000
 40 m,"Quận Đống Đa, Hà Nội",25000000
 20 m,"Quận Đống Đa, Hà Nội",18000000
 18 m,"Quận Đống Đa, Hà Nội",48400000
 80 m,"Quận Nam Từ Liêm, Hà Nội",27200000
 45 m,"Quận Nam Từ Liêm, Hà Nội",48400000
 11 m,"Quận Nam Từ Liêm, Hà Nội",48400000
 100 m,"Quận Bắc Từ Liêm, Hà Nội",37000000
 80 m,"Quận Bắc Từ Liêm, Hà Nội",48400000
 110 m,"Quận Bắc Từ Liêm, Hà Nội",22000000
 30 m,"Quận Thanh Xuân, Hà Nội",15000000
 25 m,"Quận Thanh Xuân, Hà Nội",4500000
 25 m,"Quận Thanh Xuân, Hà Nội",4500000
 300 m,"Quận Thanh Xuân, Hà Nội",120000000
 65 m,"Quận Thanh Xuân, Hà Nội",11000000
 200 m,"Quận Thanh Xuân, Hà Nội",48400000
 60 m,"Quận Thanh Xuân, Hà Nội",20000000
 55 m,"Quận Hoàng Mai, Hà Nội",10500000
 480 m,"Quận Hoàng Mai, Hà Nội",48400000
 1.300 m,"Quận Hoàng Mai, Hà Nội",48400000
 60 m,"Quận Hoàng Mai, Hà Nội",8000000
 60 m,"Quận Hoàng Mai, Hà Nội",8000000
 50 m,"Quận Hoàng Mai, Hà Nội",5000000
