area,location,price
 316 m,"Quận Hoàng Mai, Hà Nội", 50 triệu / tháng
 90 m,"Quận Hoàng Mai, Hà Nội", 30 triệu / tháng
 95 m,"Quận Hoàng Mai, Hà Nội", 31 triệu / tháng
 110 m,"Quận Hoàng Mai, Hà Nội", 165 triệu / tháng
 50 m,"Quận Hoàng Mai, Hà Nội", 24 triệu / tháng
 60 m,"Quận Hoàng Mai, Hà Nội", 30 triệu / tháng
 208 m,"Quận Hoàng Mai, Hà Nội", 450 ngàn / m
 50 m,"Quận Hoàng Mai, Hà Nội", 300 ngàn / m
 100 m,"Quận Ba Đình, Hà Nội", 10 triệu / tháng
 100 m,"Quận Hoàng Mai, Hà Nội", 45 triệu / tháng
 25 m,"Quận Hoàng Mai, Hà Nội", 5 triệu / tháng
 18 m,"Quận Hoàng Mai, Hà Nội", 8 triệu / tháng
 20 m,"Quận Hoàng Mai, Hà Nội"," 2,5 triệu / tháng"
 656 m,"Quận Ba Đình, Hà Nội", 500 ngàn / m
 110 m,"Quận Ba Đình, Hà Nội", 10 triệu / tháng
 50 m,"Quận Ba Đình, Hà Nội", 20 triệu / tháng
 75 m,"Quận Ba Đình, Hà Nội"," 7,5 triệu / tháng"
 65 m,"Quận Ba Đình, Hà Nội", 50 triệu / tháng
 88 m,"Quận Ba Đình, Hà Nội", 20 triệu / tháng
 09 m,"Quận Ba Đình, Hà Nội", 8 triệu / tháng
 60 m,"Quận Đống Đa, Hà Nội", 10 triệu / tháng
 80 m,"Quận Ba Đình, Hà Nội", 18 triệu / tháng
 20 m,"Quận Ba Đình, Hà Nội", 12 triệu / tháng
 55 m,"Quận Ba Đình, Hà Nội"," 13,5 triệu / tháng"
 50 m,"Quận Ba Đình, Hà Nội"," 13,5 triệu / tháng"
 300 m,"Quận Cầu Giấy, Hà Nội", 60 triệu / tháng
 120 m,"Quận Đống Đa, Hà Nội", 40 triệu / tháng
 90 m,"Quận Đống Đa, Hà Nội", 30 triệu / tháng
 80 m,"Quận Đống Đa, Hà Nội", 17 triệu / tháng
 45 m,"Quận Đống Đa, Hà Nội", 8 triệu / tháng
 50 m,"Quận Đống Đa, Hà Nội", 8 triệu / tháng
 340 m,"Quận Đống Đa, Hà Nội", 120 triệu / tháng
 110 m,"Quận Đống Đa, Hà Nội", 100 triệu / tháng
 60 m,"Quận Cầu Giấy, Hà Nội", 50 triệu / tháng
 200 m,"Quận Cầu Giấy, Hà Nội", 90 triệu / tháng
 240 m,"Quận Cầu Giấy, Hà Nội", 100 triệu / tháng
 70 m,"Quận Cầu Giấy, Hà Nội"," 12,5 triệu / tháng"
 80 m,"Quận Cầu Giấy, Hà Nội", 280 ngàn / m
 45 m,"Quận Cầu Giấy, Hà Nội", 6 triệu / tháng
 28 m,"Quận Cầu Giấy, Hà Nội", 5 triệu / tháng
 40 m,"Quận Hai Bà Trưng, Hà Nội", 30 triệu / tháng
 50 m,"Quận Hoàn Kiếm, Hà Nội", 55 triệu / tháng
 65 m,"Quận Đống Đa, Hà Nội", 45 triệu / tháng
 80 m,"Quận Đống Đa, Hà Nội", 40 triệu / tháng
 90 m,"Quận Đống Đa, Hà Nội", 55 triệu / tháng
 70 m,"Quận Đống Đa, Hà Nội"," 1,234 triệu / tháng"
 80 m,"Quận Đống Đa, Hà Nội"," 132,324 triệu / tháng"
 80 m,"Quận Đống Đa, Hà Nội"," 12,232 triệu / tháng"
 55 m,"Quận Đống Đa, Hà Nội", 60 triệu / tháng
 120 m,"Quận Hà Đông, Hà Nội", 60 triệu / tháng
 36 m,"Quận Cầu Giấy, Hà Nội"," 18,5 triệu / tháng"
 48 m,"Quận Cầu Giấy, Hà Nội"," 13,9 triệu / tháng"
 46 m,"Quận Cầu Giấy, Hà Nội", 14 triệu / tháng
 50 m,"Quận Cầu Giấy, Hà Nội", 6 triệu / tháng
 1.000 m,"Quận Cầu Giấy, Hà Nội", 200 triệu / tháng
 40 m,"Quận Cầu Giấy, Hà Nội", 11 triệu / tháng
 35 m,"Quận Cầu Giấy, Hà Nội"," 5,5 triệu / tháng"
 35 m,"Quận Cầu Giấy, Hà Nội"," 5,5 triệu / tháng"
 50 m,"Quận Hai Bà Trưng, Hà Nội", 20 triệu / tháng
 115 m,"Quận Hai Bà Trưng, Hà Nội", 50 triệu / tháng
 40 m,"Quận Hai Bà Trưng, Hà Nội", 35 triệu / tháng
 40 m,"Quận Hai Bà Trưng, Hà Nội", 18 triệu / tháng
 40 m,"Quận Hai Bà Trưng, Hà Nội", 19 triệu / tháng
 55 m,"Quận Hai Bà Trưng, Hà Nội", 23 triệu / tháng
 35 m,"Quận Hai Bà Trưng, Hà Nội", 28 triệu / tháng
 20 m,"Quận Hoàn Kiếm, Hà Nội"," 3,6 triệu / tháng"
 90 m,"Quận Hoàn Kiếm, Hà Nội", 13 triệu / tháng
 40 m,"Quận Hoàn Kiếm, Hà Nội", 32 triệu / tháng
 20 m,"Quận Hoàn Kiếm, Hà Nội", 12 triệu / tháng
 38 m,"Quận Hoàn Kiếm, Hà Nội", 28 triệu / tháng
 50 m,"Quận Hoàn Kiếm, Hà Nội", 50 triệu / tháng
 50 m,"Quận Hoàn Kiếm, Hà Nội", 25 triệu / tháng
 45 m,"Quận Hoàn Kiếm, Hà Nội", 25 triệu / tháng
 35 m,"Quận Đống Đa, Hà Nội", 30 triệu / tháng
 70 m,"Quận Đống Đa, Hà Nội", 60 triệu / tháng
 70 m,"Quận Đống Đa, Hà Nội", 16 triệu / tháng
 35 m,"Quận Đống Đa, Hà Nội"," 5,5 triệu / tháng"
 110 m,"Quận Đống Đa, Hà Nội", 36 triệu / tháng
 100 m,"Quận Hà Đông, Hà Nội", 45 triệu / tháng
 100 m,"Quận Hà Đông, Hà Nội", 55 triệu / tháng
 50 m,"Quận Hà Đông, Hà Nội", 30 triệu / tháng
 45 m,"Quận Hà Đông, Hà Nội", 45 triệu / tháng
 50 m,"Quận Hà Đông, Hà Nội"," 7,5 triệu / tháng"
 320 m,"Quận Hà Đông, Hà Nội", 14 triệu / tháng
 90 m,"Quận Hà Đông, Hà Nội", 10 triệu / tháng
 35 m,"Quận Cầu Giấy, Hà Nội"," 5,5 triệu / tháng"
 35 m,"Quận Cầu Giấy, Hà Nội", 6 triệu / tháng
 500 m,"Quận Cầu Giấy, Hà Nội", 250 triệu / tháng
 200 m,"Quận Cầu Giấy, Hà Nội", 161 triệu / tháng
 50 m,"Quận Hai Bà Trưng, Hà Nội", 13 triệu / tháng
 35 m,"Quận Hai Bà Trưng, Hà Nội", 25 triệu / tháng
 30 m,"Quận Hai Bà Trưng, Hà Nội", 18 triệu / tháng
 70 m,"Quận Hai Bà Trưng, Hà Nội", 16 triệu / tháng
 65 m,"Quận Hai Bà Trưng, Hà Nội", 65 triệu / tháng
 75 m,"Quận Hai Bà Trưng, Hà Nội", 23 triệu / tháng
 25 m,"Quận Hai Bà Trưng, Hà Nội", 9 triệu / tháng
