category,location,name,open_time,point,price
Chuyên món chả cá,"Số 77 Hào Nam, P. Ô Chợ Dừa, Q. Đống Đa",Chả Cá Hàng Sơn - Hào Nam ,10h30 – 14h00 & 17h30 – 22h00,3.8,200.000 - 300.000 đ/người
Gọi món Thái Lan,"Lô T261, Tầng 2, TTTM Aeon Mall Hà Đông, P. Dương Nội, Q. Hà Đông",ThaiExpress - Aeon Mall Hà Đông,11h00 – 14h00 & 17h30 - 21h30,3.9,250.000 - 350.000 vnđ/người
Chuyên món chả cá,"Số 15 Trần Hưng Đạo, P. Phan Chu Trinh, Q. Hoàn Kiếm",Chả Cá Hàng Sơn - Trần Hưng Đạo,10h30 – 14h00 & 17h30 – 22h00,3.8,200.000 - 300.000 đ/người
Chuyên hải sản ,"295 Trần Đại Nghĩa, P. Trương Định, Q. Hai Bà Trưng",Mr Tom American - Hải Sản Cajun Mỹ - Trần Đại Nghĩa  ,10h00 – 22h00,3.6,300.000 - 500.000 đ/người
Gọi món Huế ,"L4 – 02 Vincom Ocean Park Gia Lâm,Huyện Gia Lâm",Nét Huế - Ocean Park Gia Lâm,09h30 - 22h00,3.5,50.000 - 150.000 đ/người
Gọi món Thái,"Số 57 phố Bùi Thị Xuân, P. Nguyễn Du, Q. Hai Bà Trưng",TSF - Thai Street Food - Bùi Thị Xuân ,11h00 – 15h00 & 17h00 – 23h00 ,3.8,150.000 - 250.000 đ/người
Gọi món Á,"12 Huỳnh Thúc Kháng, P. Thành Công, Q.Ba Đình",Sentosa - Huỳnh Thúc Kháng,11h00 – 21h00,3.8,180.000 - 230.000 đ/người
Gọi món (Món ăn trên đĩa nóng),"Tầng B1, TTTM Times City, Minh Khai, Q. Hai Bà Trưng, Hà Nội",Hotto - Times City  ,10h00 – 21h00,3.8,80.000 - 150.000 đ/người
Gọi món Việt," Số 1 Đường Võ nguyên Giáp, Thôn Thái Phù, Xã Mai Đình, Huyện Sóc Sơn",Thảo Nguyên Xanh Restaurant - Võ Nguyên Giáp,10h30 – 13h30 & 17h30 – 21h30,3.8,250.000 – 300.000 đ/người
Gọi món Việt (Món đường phố),"TTTM Vincom, Tầng 5, Số 2 Phạm Ngọc Thạch, Q. Đống Đa",VietStreet - Vincom Phạm Ngọc Thạch,10h00 – 21h00,3.8,120.000 - 180.000 đ/người
Gọi món (Món ăn trên đĩa nóng),"Tầng 5, TTTM Vincom Nguyễn Chí Thanh",Hotto - Vincom Nguyễn Chí Thanh,10h00 – 21h00,3.8,80.000 - 150.000 đ/người
"Buffet lẩu, Gọi món Việt (Chuyên lẩu)","Số 17, Ngõ 20 Nguyễn Chánh, P. Trung Hòa, Q. Cầu Giấy (Ngõ 204 Trần Duy Hưng đi vào)",Lẩu Sơn Tùng - Nguyễn Chánh,10h00 - 13h30 & 17h00 - 22h00,3.7,150.000 – 200.000 đ/người
