,No.,name,rating,location,category,startrange,endrange,price,pricerank,"ăn vặt, ăn vặt vỉa hè","đồ ăn sáng, đồ ăn sáng vỉa hè",quán cơm văn phòng,"quán cơm bình dân, cơm mang đi",đồ ăn nhanh,"cơm, phở","đồ ăn hàn quốc, nhà hàng hàn quốc","đồ ăn nhật bản, nhà hàng nhật bản",nhà hàng,pizza,nhà hàng chay,trà sữa,cafe,"bánh ngọt, bánh sinh nhật"
0,0,kim long garden - đường đê vàng,7.8,quận long biên,nhà hàng,200000,300000,medium,2,,,,,,,,,x,,,,,
1,1,xôi cát lâm - đường thành,6.8,quận hoàn kiếm,nhà hàng,20000,50000,cheap,1,,x,,x,,,,,x,,,,,
2,2,chả cá thăng long - đường thành,7.4,quận hoàn kiếm,nhà hàng,30000,66000,cheap,1,,,,,,,,,x,,,,,
3,3,chả cá lang liêu - đường thành,7.8,quận hoàn kiếm,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
4,4,bún chả đắc kim - đường thành,6.7,quận hoàn kiếm,nhà hàng,20000,44000,cheap,1,,,x,x,,x,,,,,,,,
5,5,yum yum nhà hàng hotpot station - đường láng,8.0,quận đống đa,nhà hàng,140000,200000,medium,2,,,,,,,,,x,,,,,
6,6,trà sữa tocotoco - đường láng,7.1,quận đống đa,cafe tráng miệng,30000,50000,cheap,1,,,x,,,,,,,,,x,x,
7,7,tadifar - lẩu hải sản - đường láng,7.5,quận đống đa,nhà hàng,20000,85000,cheap,1,,,,,,,,,x,,,,,
8,8,quán cá zozo - đường láng,7.0,quận đống đa,nhà hàng,200000,250000,medium,2,,,,,,,,,x,,,,,
9,9,miele pane - bánh ngọt mì & xôi - đường láng,8.2,quận cầu giấy,ăn vặt vỉa hè,10000,40000,cheap,1,,x,,x,,,,,,,,,x,
10,10,hoàng huệ - cơm rang & bún bò trộn - đường láng,1.0,quận đống đa,nhà hàng,25000,50000,cheap,1,,x,x,x,,x,,,x,,,,,
11,11,gemini coffee - đường láng,6.8,quận đống đa,cafe tráng miệng,25000,50000,cheap,1,,,x,,,,,,,,,x,x,
12,12,bún bò trộn nam bộ - đường láng,6.9,quận đống đa,nhà hàng,35000,50000,cheap,1,,,x,x,,x,,,x,,,,,
13,13,bún bò huế 65 - đường láng,6.6,quận đống đa,ăn vặt vỉa hè,20000,50000,cheap,1,,,x,x,,x,,,x,,,,,
14,14,lẩu dê nhất ly - đường bưởi,8.0,quận ba đình,nhà hàng,230000,350000,medium,2,,,,,,,,,x,,,,,
15,15,hải sản nhật bản nihonkai - đường bưởi,7.6,quận ba đình,nhà hàng,300000,400000,medium,2,,,,,,,,,x,,,,,
16,16,daddy paris - bánh ngọt pháp - đường bưởi,7.2,quận ba đình,bánh ngọt,5000,300000,medium,2,,,,,,,,,,,,,x,x
17,17,ngọc thạch quán - sữa chua & caramen - đức diễn,7.1,quận bắc từ liêm,cafe tráng miệng,15000,25000,cheap,1,,,,,,,,x,,,,,x,x
18,18,hương việt - đỗ đức dục,8.0,quận nam từ liêm,nhà hàng,250000,300000,medium,2,,,,,,,,,x,,,,,
19,19,royaltea vietnam by hongkong - đỗ quang,6.5,quận cầu giấy,cafe tráng miệng,25000,65000,cheap,1,,,,,,,,,,,,,x,
20,20,pizza ông tây - đỗ quang,6.3,quận cầu giấy,nhà hàng,50000,350000,medium,2,,,,,,,,,,x,,,,
21,21,mai châu - đỗ quang,7.0,quận cầu giấy,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
22,22,gà rán kuccu - đỗ quang,6.8,quận cầu giấy,nhà hàng,50000,165000,medium,2,,,,,x,,,,x,,,,,
23,23,emm’s french bistro - đỗ quang,7.6,quận cầu giấy,nhà hàng,200000,400000,medium,2,,,,,,,,,x,,,,,
24,24,emm's french bistro - đỗ quang,7.4,quận cầu giấy,nhà hàng,30000,70000,cheap,1,,,,,,,,,x,,,,,
25,25,box bbq - đỗ quang,8.0,quận cầu giấy,nhà hàng,200000,250000,medium,2,,,,,,,,,x,,,,,
26,26,thái đạt - đồ nướng trung hoa,6.7,quận hoàn kiếm,nhà hàng,50000,200000,medium,2,,,,,,,,,x,,,,,
27,27,yên béo - đồ nướng & ăn vặt,7.4,quận tây hồ,ăn vặt vỉa hè,12000,100000,cheap,1,x,x,,,x,,,,x,,,,x,
28,28,lẩu nướng cô quỳnh - đồng xuân,7.0,quận hoàn kiếm,nhà hàng,100000,200000,medium,2,,,,,,,,,x,,,,,
29,29,cháo sườn huyền anh - đồng xuân,7.2,quận hoàn kiếm,nhà hàng,20000,50000,cheap,1,,,,,,,,,x,,,,,
30,30,kem tràng tiền - đồng xa,7.1,quận cầu giấy,cafe tráng miệng,7000,70000,cheap,1,,,x,,,,,,,,,,x,
31,31,vườn xưa - bánh cuốn thịt nướng - đông thiên,6.8,quận hoàng mai,nhà hàng,25000,50000,cheap,1,,x,x,,,,,,,,,,x,
32,32,miele pane - bánh ngọt mì & xôi - đông thiên,7.1,quận hoàng mai,ăn vặt vỉa hè,10000,40000,cheap,1,,x,,x,,,,,,,,,x,
33,33,paradise - cơm văn phòng online - đông tác,6.8,quận đống đa,delivery,35000,55000,cheap,1,,x,x,x,,,,,x,,,,,
34,34,"lê lan - bún, phở & bánh mì sốt vang đặc biệt online - đông tác",7.1,quận đống đa,delivery,40000,50000,cheap,1,,x,x,x,,x,,,,,,,x,
35,35,aki restaurant - đông quan,7.6,quận cầu giấy,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
36,36,zamba extra bbq & beer - đông các,7.6,quận đống đa,nhà hàng,220000,300000,medium,2,,,,,,,,,x,,,,,
37,37,vườn treo pacific - đội cấn,6.0,quận ba đình,nhà hàng,100000,200000,medium,2,,,,,,,,,x,,,,,
38,38,vịt 29 - đội cấn,5.9,quận ba đình,nhà hàng,50000,300000,medium,2,,,,,,,,,x,,,,,
39,39,trà sữa tocotoco - đội cấn,5.9,quận ba đình,cafe tráng miệng,25000,80000,cheap,1,,,x,,,,,,,,,x,x,
40,40,tiny cafe - đội cấn,7.4,quận ba đình,cafe tráng miệng,20000,50000,cheap,1,,,x,,,,,,,,,x,x,
41,41,thủy xèo - bánh xèo nem lụi - đội cấn,6.6,quận ba đình,nhà hàng,20000,50000,cheap,1,,,,,,,,,,,,,x,
42,42,thế giới chè & quà vặt - đội cấn,7.1,quận ba đình,ăn vặt vỉa hè,20000,60000,cheap,1,x,x,,,x,,,,,,,,x,
43,43,tanka quán - chân gà & cánh gà nướng - đội cấn,9.3,quận ba đình,ăn vặt vỉa hè,10000,50000,cheap,1,,,,,,,,,x,,,,,
44,44,street sushi - đội cấn,7.0,quận ba đình,nhà hàng,16000,60000,cheap,1,,,,,,,,x,,,,,,
45,45,savor - bánh mì & trà sữa - đội cấn,7.3,quận ba đình,ăn vặt vỉa hè,20000,50000,cheap,1,,x,x,x,,,,,,,,x,x,
46,46,royaltea - đội cấn,7.2,quận ba đình,cafe tráng miệng,30000,50000,cheap,1,,,,,,,,,,,,,x,
47,47,quang nguyên - chè khúc bạch - đội cấn,7.2,quận ba đình,ăn vặt vỉa hè,10000,25000,cheap,1,x,x,,,x,,,,,,,,x,
48,48,phong phú - sữa ngô nguyên chất & bánh bao - đội cấn,6.9,quận ba đình,bánh ngọt,20000,200000,medium,2,,x,,,,,,,,,,,x,
49,49,master tea 美茶 - đội cấn,8.0,quận ba đình,cafe tráng miệng,26000,50000,cheap,1,,,,,,,,,,,,,x,
50,50,korean bbq - đội cấn,6.0,quận ba đình,nhà hàng,100000,150000,medium,2,,,,,,,,,x,,,,,
51,51,hội quán - đội cấn,6.4,quận ba đình,nhà hàng,220000,250000,medium,2,,,,,,,,,x,,,,,
52,52,funny monkey - chè & mẹt ăn vặt - đội cấn,6.5,quận ba đình,cafe tráng miệng,15000,50000,cheap,1,x,x,,,x,,,,,,,,x,
53,53,cúc - cháo sườn sụn - đội cấn,6.8,quận ba đình,ăn vặt vỉa hè,25000,50000,cheap,1,x,x,,,x,,,,,,,,x,
54,54,chaebon - kimbap ngon số 1 - đội cấn,7.1,quận ba đình,nhà hàng,30000,100000,cheap,1,,,,,,,,,x,,,,,
55,55,cabine cafeteria - đội cấn,7.0,quận ba đình,cafe tráng miệng,30000,60000,cheap,1,,,x,,,,,,,,,x,x,
56,56,bún ốc sườn cô sáu - đội cấn,7.1,quận ba đình,nhà hàng,25000,50000,cheap,1,x,,x,x,,x,,,,,,,,
57,57,beard papa's - đội cấn,7.7,quận ba đình,bánh ngọt,20000,100000,cheap,1,,,,,,,,,,,,,x,x
58,58,bánh tráng cuốn thịt heo hoàng bèo - đội cấn,5.0,quận ba đình,nhà hàng,30000,100000,cheap,1,x,,,,,,,,,,,,x,
59,59,bánh mì v+ - đội cấn,6.8,quận ba đình,nhà hàng,20000,20000,cheap,1,,x,,x,,,,,,,,,x,
60,60,bánh mì nguyên sinh - đội cấn,4.9,quận ba đình,nhà hàng,20000,35000,cheap,1,,x,,x,,,,,,,,,x,
61,61,bánh mì cười - bánh mì kẹp - đội cấn,7.1,quận ba đình,ăn vặt vỉa hè,10000,20000,cheap,1,,x,,x,,,,,,,,,x,
62,62,bánh cuốn nóng gia truyền - đội cấn,7.4,quận ba đình,nhà hàng,20000,50000,cheap,1,,x,x,,,,,,,,,,x,
