Name,Address
THCS Trung Hòa,"Số 3, ngõ 22, phố Trung Kính, quận Cầu Giấy, Thành Phố Hà Nội"
THCS Yên Hòa,"Số 226 đường Trung Kính, quận Cầu Giấy, TP. Hà Nội"
THCS Dịch Vọng,"86 Chùa Hà, Quan Hoa, Cầu Giấy, Hà Nội"
THCS Mai Dịch,"Số 2 Dương Khuê, Mai Dịch, Cầu Giấy, Hà Nội"
THCS Nghĩa Tân,"14 Tô Hiệu – Quận Cầu Giấy, Thành Phố Hà Nội"
THCS Lê Quý Đôn,"Số 58 Đ. Nguyễn Văn Huyên, Nghĩa Đô, Cầu Giấy, Hà Nội"
THCS Cầu Giấy,"76 Phố Trương Công Giai, Dịch Vọng, Cầu Giấy, Hà Nội"
THCS Nam Trung Yên,B5- đường Phạm Hùng (phía sau Big C) phường Nam Trung Yên
THCS Dịch Vọng Hậu,Ngõ 78 phố Duy Tân phường Dịch Vọng
THCS Hà Nội Amsterdam,"Hoàng Minh Giám, Trung Hoà, Cầu Giấy, Hà Nội"
THCS Nguyễn Siêu,"Mạc Thái Tổ, Yên Hoà, Cầu Giấy, Hà Nội"
Trường Hermann Gmeiner,"Số 02 Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, thành phố Hà Nội"
THCS Nguyễn Bỉnh Khiêm,Số 6 Trần Quốc Hoàn – Quận Cầu Giấy – Hà Nội – Việt Nam
 THCS Lý Thái Tổ,"165 Hoàng Ngân, Trung Hoà, Cầu Giấy, Hà Nội"
Trường Quốc Tế Global,"Lô C1, 2, 3, 4, D34 – KĐT Yên Hòa – Cầu Giấy – Quận Cầu Giấy"
Trường THCS FPT,"15 Đông Quan, Quan Hoa, Cầu Giấy, Hà Nội"
THCS Nguyễn Tất Thành,"136 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội"
THCS Đông Ngạc,"Ngõ 73 Kẻ Vẽ, Đông Ngạc, Bắc Từ Liêm, Hà Nội"
THCS Liên Mạc,"Ngõ 19 Liên Mạc, Liên Mạc, Bắc Từ Liêm, Hà Nội"
THCS Minh Khai,Số 1 – Đường Văn Trì – Phường Minh Khai – Quận Bắc Từ Liêm – Hà Nội
THCS Phúc Diễn,Đường Đức Diễn – Phường Phúc Diễn – Quận Bắc Từ Liêm – Hà Nội
THCS Tây Tựu,TDP Thượng 4 – phường Tây Tựu – Quận Bắc Từ Liêm – Hà Nội
THCS Xuân Đỉnh,"180 Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội"
THCS Thụy Phương,"Số 11/149 đường Thụy Phương, Bắc Từ Liêm, Hà Nội"
THCS Thượng Cát,"Phường Thượng Cát, quận Bắc Từ Liêm, thành phố Hà Nội"
THCS Phú Diễn,"Ngõ 332 Hoàng Công Chất, Cầu Diễn, Bắc Từ Liêm, Hà Nội"
THCS Cổ Nhuế 2,Phường Cổ Nhuế 2 – Quận BắcTừ Liêm – Thành phố Hà Nội
THCS Đức Thắng,Tổ 1 – Phường Đức Thắng – quận Bắc Từ Liêm – TP. Hà Nội
TH-THCS Tây Hà Nội,"Phố Kiều Mai, phường Phúc Diễn, quận Bắc Từ Liêm, Hà Nội"
THCS Everest,"Ngõ 106 +300m Hoàng Quốc Việt (KĐT mới Nghĩa Đô), Bắc Từ Liêm, Hà Nội"
THCS Biên Giang,"Tổ dân phố Yên Phúc, phường Biên Giang, quận Hà Đông"
THCS Đồng Mai,Tổ 7 – Phường Đồng Mai – Hà Đông
THCS Dương Nội,"Dương Nội, Hà Đông"
THCS Kiến Hưng,"Kiến Hưng, Hà Đông, Hà Nội"
THCS Lê Hồng Phong,"123 Lê Hồng Phong, P. Nguyễn Trãi, Hà Đông, Hà Nội"
THCS Mỗ Lao,"Khu đô thị Mỗ Lao, P.Mộ Lao, Q.Hà Đông, TP.Hà Nội, Hà Đông, Hà Nội"
THCS Trần Đăng Ninh,"99 Lý Tự Trọng, La Khê, Hà Đông, Hà Nội"
THCS Lê Lợi,"160 Lê Lợi, phường Hà Cầu, quận Hà Đông, Tp. Hà Nội"
THCS Nguyễn Trãi,"Số 2 Minh Khai, P. Nguyễn Trãi, Hà Đông, Hà Nội"
THCS Phú La,"Đường Văn La, Phú la, Hà đông"
THCS Phú Lãm,"Thanh Lãm, Phú Lãm, Hà Đông, Hà Nội"
THCS Phú Lương,"P. Phú Lương, Q. Hà Đông"
THCS Văn Khê,"35 Phan Đình Giót, La Khê, Hà Đông, Hà Nội"
THCS Văn Yên,"P. Phúc La, Hà Đông, Hà Nội"
THCS Yên Nghĩa,"P. Yên Lộ, Yên Nghĩa, Hà Đông, Hà Nội"
THCS Mậu Lương,"Khu đấu giá tái định cư, Phường Kiến Hưng, Quận Hà Đông, Hà Nội"
THCS Vạn Phúc,"91 Ngô Thì Sỹ, Vạn Phúc, Hà Đông, Hà Nội"
THCS Ban Mai,Lô TH4 khu đô thị Văn Phú – P. Phú La – Hà Đông
THCS Văn Quán,"Khu đô thị Văn Quán, p. Văn Quán, quận Hà Đông, tp. Hà Nội"
THCS Lê Quý Đôn,"Lô TH-01, KĐT Dương Nội – Hà Đông – Hà Nội"
Phổ thông Quốc tế VN,"Khu đô thị Dương Nội, quận Hà Đông, Hà Nội"
THCS YÊN SƠN – BA VÌ,Xã Yên Sơn
THCS YÊN BÀI B,Xã Yên Bài
THCS YÊN BÀI A,Xã Yên Bài
THCS VẬT LẠI,Xã Vật Lại
THCS VẠN THẮNG,Xã Vạn Thắng
THCS VÂN HOÀ,Xã Vân Hòa
THCS TTNC BÒ & ĐỒNG CỎ,Xã Tản Lĩnh
THCS TÒNG BẠT,Xã Tòng Bạt
THCS TIÊN PHONG,Xã Tiên Phong
THCS THUỴ AN,Xã Thụy An
THCS THUẦN MỸ,Xã Thuần Mỹ
THCS THÁI HOÀ,Xã Thái Hòa
THCS TÂY ĐẰNG,Xã Tây Đằng
THCS TẢN LĨNH,Xã Tản Lĩnh
THCS TẢN HỒNG,Xã Tản Hồng
THCS TẢN ĐÀ,Thị Trấn Tây Đằng
THCS SƠN ĐÀ,Xã Sơn Đà
THCS PHÚ SƠN,Xã Phú Sơn
THCS PHÚ PHƯƠNG,Xã Phú Phương
THCS PHÚ ĐÔNG,Xã Phú Đông
THCS PHÚ CƯỜNG – BA VÌ,Xã Phú Cường
THCS PHÚ CHÂU,Xã Phú Châu
THCS PHONG VÂN,Xã Phong Vân
THCS PHỔ THÔNG DÂN TỘC NỘI TRÚ,Xã Ba Trại
THCS MINH QUANG,Xã Minh Quang
THCS MINH CHÂU,Xã Minh Châu
THCS KHÁNH THƯỢNG,Xã Khánh Thượng
THCS HỢP NHẤT,Xã Ba Vì
THCS ĐỒNG THÁI,Xã Đồng Thái
THCS ĐÔNG QUANG,Xã Đông Quang
THCS CỔ ĐÔ,Xã Cổ Đô
THCS CHU MINH,Xã Chu Minh
THCS CHÂU SƠN,Xã Châu Sơn
THCS CAM THƯỢNG,Xã Cam Thượng
THCS CẨM LĨNH,Xã Cẩm Lĩnh
THCS BA TRẠI,Xã Ba Trại
Trường THCS Xuy Xá,Xuy Xá – Mỹ Đức
Trường THCS Vạn Kim,Vạn Kim – Mỹ Đức
Trường THCS Tuy Lai,Tuy Lai – Mỹ Đức
THCS Tô Vĩnh Diện,Địa chỉ: 12/79 Cẩm Văn – Hàng Bột – Đống Đa – Hà Nội
THCS Trung Phụng,"Số 38/218 Phố Chợ Khâm Thiên, Đống Đa, Hà Nội"
THCS Lý Thường Kiệt,"104 Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội"
THCS Cát Linh,"Số 31, Cát Linh, Đống Đa, Hà Nội"
THCS Láng Hạ,"Số 1, ngõ 538 đường Láng, Láng Hạ, Đống Đa, Hà Nội"
THCS Láng Thượng,159 Chùa Láng – Đống Đa – Hà Nội
THCS Thái Thịnh,"131A Thái Thịnh, Thịnh Quang, Đống Đa, Hà Nội"
THCS Thịnh Quang,"Số 13, Ngõ 122 Đ. Láng, Thịnh Quang, Đống Đa, Hà Nội"
THCS Tam Khương,"163 Phố Khương Thượng, Khương Thượng, Đống Đa, Hà Nội"
THCS Quang Trung,"100 Đường Trần Quang Diệu, Q. Đống Đa"
THCS Khương Thượng,"10 Tôn Thất Tùng, Trung Tự, Đống Đa, Hà Nội"
THCS Đống Đa,"số 28 Lương Định Của, phường Kim Liên, quận Đống Đa, TP Hà Nội"
THCS Nguyễn Trường Tộ,"Số 20 – Ngõ 5 – Đường Láng Hạ, Phường Ô Chợ Dừa – Quận Đống Đa, Hà Nội"
THCS Phương Mai,số 18 Giải Phóng – Đống Đa – Hà Nội
THCS Bế Văn Đàn,"181 Nguyễn Lương Bằng, Phường Quang Trung, Quận Đống Đa, Thành phố Hà Nội"
THCS Huy Văn,191 Ngõ Văn Chương – Phường Văn Chương – Đống Đa – Hà Nội
THCS Xã Đàn,"111, Ngõ Xã Đàn, Phường Nam Đồng, Quận Đống Đa, Hà Nội"
THCS Ba Đình,"145 Hoàng Hoa Thám, Ngọc Hà, Ba Đình, Hà Nội"
THCS Giảng Võ,Số 1 Phố Trần Huy Liệu – Ba Đình – Hà Nội
THCS Hoàng Hoa Thám,"Ngõ 64 – Vĩnh Phúc, Vĩnh Phú, Ba Đình, Hà Nội"
THCS Mạc Đĩnh Chi,Số 66 Phó Đức Chính – Trúc Bạch – Ba Đình Hà Nội
THCS Nguyễn Công Trứ,"Số 8 Nguyễn Trường Tộ, Nguyễn Trung Trực, Ba Đình, Hà Nội"
THCS Nguyễn Trãi,"25 Giang Văn Minh, Kim Mã, Ba Đình, Hà Nội"
THCS Phan Chu Trinh,"24 Nguyễn Công Hoan, Ngọc Khánh, Ba Đình, Hà Nội"
THCS Phúc Xá,"2 An Xá, Phúc Xá, Ba Đình, Hà Nội"
THCS Thăng Long,"46A phố Nguyễn Văn Ngọc, Cống Vị, quận Ba Đình, Hà Nội"
THCS Thành Công,"Khu C10, Ngõ 7, Nguyên Hồng, Phường Thành Công, Quận Ba Đình, Hà Nội"
THCS Thống Nhất,"42, Ngõ 210, Đội Cấn, Ba Đình, Hà Nội"
THCS Thực Nghiệm,"50 Liễu Giai, Cống Vị, Ba Đình, Hà Nội"
THCS Nguyễn Tri Phương,"67 Cửa Bắc, Quán Thánh, Ba Đình, Hà Nội"
THCS Giáp Bát,"Số 33, ngõ Giáp Bát (hoặc ngõ 19 đường Kim Đồng), phường Giáp Bát, quận Hoàng Mai"
THCS Hoàng Liệt,"Số 1, đường Ngọc Hồi, phường Hoàng Liệt, quận Hoàng Mai"
THCS Hoàng Văn Thụ,"Số 2/160, đường Hoàng Mai, phường Hoàng Văn Thụ, quận Hoàng Mai"
THCS Lĩnh Nam,"Ngõ 649, đường Lĩnh Nam, phường Lĩnh Nam, quận Hoàng Mai"
THCS Mai Động,"Số 01, đường Lĩnh Nam, phường Mai Động, quận Hoàng Mai"
THCS Tân Mai,"Số 147 phố Tân Mai, phường Tân Mai, quận Hoàng Mai"
THCS Tân Định,"Số 35 phố Nguyễn An Ninh, phường Tương Mai, quận Hoàng Mai"
THCS Thanh Trì,"Số 1062 đường Nguyễn Khoái, phường Thanh Trì, quận Hoàng Mai"
THCS Thịnh Liệt,Số 143/79 Phố Nguyễn Chính – Thịnh Liệt – Hoàng Mai – HN
THCS Trần Phú,"Số 16 đường Khuyến Lương, phường Trần Phú, quận Hoàng Mai"
THCS Vĩnh Hưng,"Ngõ 126 phố Vĩnh Hưng, phường Vĩnh Hưng, quận Hoàng Mai"
THCS Yên Sở,"Số 225 phố Yên Duyên, phườngYên Sở, quận Hoàng Mai"
THCS Đại Kim,"Km số 2, đường Kim Giang, phường Đại Kim, quận Hoàng Mai"
THCS Đền Lừ,"Khu đô thị Đền Lừ, phường Hoàng Văn Thụ, quận Hoàng Mai"
THCS Định Công,"Số 136, tổ 16, phường Định Công, quận Hoàng Mai"
THCS Chương Dương,"103 phố Vọng Hà, phường Chương Dương, Quận Hoàn Kiếm, Hà Nội"
THCS Hoàn Kiếm,"số 2 Nhà Thờ, Hàng Trống, Hoàn Kiếm, Hà Nội"
THCS Lê Lợi,"17 Nguyễn Thiện Thuật, Hoàn Kiếm, Hà Nội"
THCS Nguyễn Du,"44-46 Hàng Quạt, Hàng Gai, Hoàn Kiếm, Hà Nội"
THCS Ngô Sĩ Liên,"27 Hàm Long, Hàng Bài, Hoàn Kiếm, Hà Nội"
THCS Thanh Quan,"29 Hàng Cót, Hàng Mã, Hoàn Kiếm, Hà Nội"
THCS Trưng Vương,"26 Hàng Bài, Hoàn Kiếm, Hà Nội"
THCS Xuân La,"34 Xuân La, Tây Hồ, Hà Nội"
THCS Tứ Liên,Số 3 – Ngõ 172 – Đường Âu Cơ – Tây Hồ
THCS Quảng An,"Ngõ 11 đường Tô Ngọc Vân, Tây Hồ"
THCS Phú Thượng,"Số 37 Phú Gia, Phú Thượng, Tây Hồ, Hà Nội"
THCS Nhật Tân,"474, Lạc Long Quân, Q.Tây Hồ, Hà Nội"
THCS Đông Thái,"149 Trích Sài, Bưởi, Tây Hồ, Hà Nội"
THCS Chu Văn An,"17 Thụy Khuê, Bưởi, Hà Nội"
THCS An Dương,"88A Nghi Tàm, Yên Phụ, Tây Hồ, Hà Nội"
THCS Ái Mộ,"Số 34, Ngõ 298, Ngọc Lâm, Long Biên, TP. Hà Nội"
THCS Đức Giang,"Tổ 6A, phố Ô Cách, Phường Đức Giang, Quận Long Biên, TP. Hà Nội"
THCS Đô Thị Việt Hưng,"Lô TH 03, Khu Đô Thị Việt Hưng, Quận Long Biên, TP. Hà Nội"
THCS Bồ Đề,"310 phố Hoàng Như Tiếp, Phường Bồ Đề, Quận Long Biên, TP. Hà Nội"
THCS Cự Khối,"Tổ 11 P. Cự Khối, Long Biên, TP. Hà Nội"
THCS Gia thụy,"Ngõ 562, Đường Nguyễn Văn Cừ, Long Biên, TP. Hà Nội"
THCS Giang Biên,"Tổ 5 P. Giang Biên, Long Biên, TP. Hà Nội"
THCS Long Biên,"Số 21 Phố Tư Đình, P. Long Biên, Q.Long Biên, TP. Hà Nội"
THCS Ngọc Lâm,"Số 6, ngõ 370 Nguyễn Văn Cừ, P. Bồ Đề, Long Biên , TP. Hà Nội"
THCS Ngọc Thụy,"Nghách 268/58 Ngọc Thuỵ, Ngọc Thụy, Hà Nội, Việt Nam, TP. Hà Nội"
THCS Ngô Gia Tự,"82 Ngõ 528 Ngô Gia Tự, Long Biên, TP. Hà Nội"
THCS Phúc Lợi,"Tổ 4, P. Phúc Lợi, Long Biên, TP. Hà Nội"
THCS Phúc Đồng,"Tổ 5, Phường Phúc Đồng, Long Biên, TP. Hà Nội"
THCS Sài Đồng,"Số 11 Ngõ 557 Đường Nguyễn Văn Linh, Long Biên, TP. Hà Nội"
THCS Thạch Bàn,"193 phố Thạch Bàn, phường Thạch Bàn, Long Biên, TP. Hà Nội"
THCS Thượng Thanh,"Tổ 12, P. Thượng Thanh, Q. Long Biên, TP. Hà Nội"
THCS Việt Hưng,"Tổ 4 P. Việt Hưng, Long Biên, TP. Hà Nội"
THCS Thanh Am,"Tổ 20, Thượng Thanh, Long Biên, Hà Nội"
THPT Thạch Bàn,"Tổ 12, Phường Thạch Bàn, Quận Long Biên, Hà Nội"
THCS Đoàn Kết,"27 Chùa Vua, Quận Hai Bà Trưng, Hà Nội"
THCS Hà Huy Tập,"19, Ngõ 204 Hồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội"
THCS Hai Bà Trưng,94B Đê Trần Khát Chân – Phường Thanh Lương – Quận Hai Bà Trưng – Hà Nội
THCS Lê Ngọc Hân,"Phố Thi Sách, Phạm Đình Hổ, Hai Bà Trưng, Hà Nội"
THCS Lương Yên,"Ngõ 63 Lương Yên, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội"
THCS Minh Khai,"84 Kim Ngưu, Hai Bà Trưng, Hà Nội"
THCS Ngô Gia Tự,"4 ngõ 300 Bạch Mai, Hai Bà Trưng, Hà Nội"
THCS Ngô Quyền,273 Ngõ Quỳnh – Phường Quỳnh Lôi – Quận Hai Bà Trưng – TP. Hà Nội
THCS Nguyễn Đình Chiểu,"21 Lạc Trung, phường Vĩnh Tuy, quận Hai Bà Trưng, Thành phố Hà Nội"
THCS Nguyễn Phong Sắc,"Ngõ 44 Đại La, Trương Định, Hai Bà Trưng, Hà Nội"
THCS Quỳnh Mai,"C2-C6 Phố Quỳnh Lôi, Quỳnh Mai, Hai Bà Trưng, Hà Nội"
THCS Tây Sơn,"52A Trần Nhân Tông, Nguyễn Du, Hai Bà Trưng, Hà Nội"
THCS Tô Hoàng,"27 Đại Cồ Việt, Cầu Dền, Hai Bà Trưng, Hà Nội"
THCS Trưng Nhị,"30 Hương Viên, Đồng Nhân, Hai Bà Trưng, Hà Nội"
THCS Vân Hồ,"193 Bà Triệu, Lê Đại Hành, Hai Bà Trưng, Hà Nội"
THCS Vĩnh Tuy,"Ngõ 34 Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội"
THCS Việt Nam-Angiêri,"Đường Nguyễn Quý Đức, Thanh Xuân Bắc, quận Thanh Xuân, Hà Nội"
THCS Phan Đình Giót,"Số 3, phố Nhân Hòa, phường Nhân Chính, quận Thanh Xuân, Hà Nội"
THCS Nguyễn Trãi,số 126 – Khương Trung – Thanh Xuân – Hà Nội
THCS Phương Liệt,– Địa chỉ:
THCS Kim Giang,Phố Hoàng Đạo Thành – Thanh Xuân – Hà Nội
THCS Thanh Xuân Nam,Phường Thanh Xuân Nam – Quận Thanh Xuân – TP Hà Nội
THCS Khương Đình,"16 Khương Hạ, Khương Đình, Thanh Xuân, Hà Nội"
THCS Nhân Chính,Số 17 ngõ 134 Phố Quan Nhân – Phường Nhân Chính – Quận Thanh Xuân – TP Hà Nội
THCS Hạ Đình,Ngõ 460 Đường Khương Đình – Hạ Đình – Quận Thanh Xuân
THCS Khương Mai,ngõ 93 Hoàng Văn Thái – Quận Thanh Xuân – TP Hà Nội
 THCS Thanh Xuân,203 Nguyễn Huy Tưởng – Thanh Xuân – Hà Nội
THCS Thanh Xuân Trung,"90 Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, Hà Nội"
 THCS Nguyễn Lân,"53 Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Thành phố Hà Nội"
Trường THCS Bắc Sơn,"Bắc Sơn, Sóc Sơn"
Trường THCS Tân Minh B,"Xuân Đồng, Sóc Sơn"
Trường THCS Bắc Phú,"Bắc Phú, Sóc Sơn"
THCS THỊ TRẤN – ĐÔNG ANH,"Thị Trấn Đông Anh, huyện Đông Anh, Hà Nội"
THCS TÀM XÁ,Xã Tàm Xá – Đông Anh
THCS NGUYÊN KHÊ,Xã Nguyên Khê – Đông Anh
THCS NGUYỄN HUY TƯỞNG,Thị Trấn Đông Anh
THCS NAM HỒNG,Xã Nam Hồng – Đông Anh
THCS MAI LÂM,Xã Mai Lâm – Đông Anh
THCS LIÊN HÀ – ĐÔNG ANH,Xã Liên Hà – Đông Anh
THCS KIM NỖ,Xã Kim Nỗ – Đông Anh; Điện thoại: 02438810005
THCS KIM CHUNG – ĐÔNG ANH,Xã Kim Chung – Đông Anh
THCS HẢI BỐI,Xã Hảo Bối – Đông Anh
THCS DỤC TÚ,Xã Dục Tú – Đông Anh
THCS ĐÔNG HỘI,Xã Đông Hội – Đông Anh
THCS CỔ LOA,Xã Cổ Loa – Đông Anh
THCS BÙI QUANG MẠI,Xã Đại Mạch – Đông Anh
THCS BẮC HỒNG,Xã Bắc Hồng – Đông Anh
THCS XUÂN NỘN,Xã Xuân Nộn – Đông Anh
THCS XUÂN CANH,Xã Xuân Canh – Đông Anh
THCS VÕNG LA,Xã Võng La – Đông Anh
THCS VĨNH NGỌC,Xã Vĩnh Ngọc – Đông Anh
THCS VIỆT HÙNG,Xã Việt Hùng – Đông Anh
THCS VÂN NỘI,Xã Vân Nội – Đông Anh
THCS VÂN HÀ – ĐÔNG ANH,Xã Vân Hà – Đông Anh
THCS UY NỖ,Xã Uy Nỗ – Đông Anh
THCS TIÊN DƯƠNG,Xã Tiên Dương – Đông Anh
THCS THỤY LÂM,Xã Thuỵ Lâm – Đông Anh
THCS Cao Bá Quát,Khu Đô Thị Đặng Xá – Gia Lâm – Hà Nội
THCS Cổ Bi,Thôn Cam – Xã Cổ Bi – Huyện Gia Lâm – TP Hà Nội
THCS Lệ Chi,"Xã Lệ Chi, H. Gia Lâm, TP. Hà Nội"
THCS Yên Viên,"Xã Yên Viên, H. Gia Lâm, TP. Hà Nội"
THCS Thị Trấn Trâu Quỳ,"TT. Trâu Quỳ, Huyện Gia Lâm, Hà Nội"
THCS Kim Lan,"Xã Kim Lan, Huyện Gia Lâm, Thành phố Hà Nội"
THCS Đặng Xá,"Thôn Hoàng Long, Xã Đặng Xá, H. Gia Lâm, TP. Hà Nội"
THCS Phú Thị,"Xã Phú Thị, H. Gia Lâm, TP. Hà Nội;"
THCS Đa Tốn,"Thôn Đào Xuyên, Xã Đa Tốn, H. Gia Lâm, TP. Hà Nội"
THCS Đình Xuyên,"Xã Đình Xuyên, H. Gia Lâm, TP. Hà Nội"
THCS Dương Quang,"Xã Dương Quang, H. Gia Lâm, TP. Hà Nội"
THCS Kim Sơn,"Xã Kim Sơn, Huyện Gia Lâm, TP Hà Nội"
THCS Dương Hà,"Thôn Trung, xã Dương Hà, Huyện Gia Lâm, Hà Nội"
THCS Yên Thường,"Thôn Yên Khê, xã Yên Thường, Huyện Gia Lâm, Hà Nội"
THCS Văn Đức,"Xã Văn Đức, Huyện Gia Lâm, Thành phố Hà Nội"
THCS Bát Tràng,"Thôn Giang Cao, Xã Bát Tràng, Huyện Gia Lâm, TP Hà Nội"
