Quận,Tổng chung,Diện tích
Ba Đình,221893,9.25
Hoàn Kiếm,135618,5.29
Tây Hồ,160495,24.01
Long Biên,322549,59.93
Cầu Giấy,292536,12.03
Đống Đa,371606,9.96
Hai Bà Trưng,303586,10.09
Hoàng Mai,506347,40.32
Thanh Xuân,293524,9.08
Sóc Sơn,343432,306.51
Đông Anh,405749,182.14
Gia Lâm,286102,114.73
Nam Từ Liêm,264246,43.35
Thanh Trì,275745,32.27
Bắc Từ Liêm,335110,62.93
Mê Linh,240555,142.51
Hà Đông,397854,48.34
Sơn Tây,145856,113.53
Ba Vì,290580,424.03
Phúc Thọ,184024,117.19
Đan Phượng,174501,77.35
Hoài Đức,262978,82.47
Quốc Oai,194412,147.91
Thạch Thất,216554,184.59
Chương Mỹ,337326,232.41
Thanh Oai,221029,123.85
Thường Tin,254702,127.39
Phú Xuyên,213984,171.10
Ứng Hòa,210869,183.75
Mỹ Đức,199901,226.20
